,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,2,2,40,12
Avg. Estimate,73.69B,71.82B,297.39B,326.75B
Low estimate,69.95B,69.73B,284.04B,304.36B
High estimate,77.43B,73.91B,311.91B,366.87B
Year ago EPS,32.9,37.3,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,63.69B,66.51B,247B,297.39B
Sales growth (year/est),15.70%,8.00%,20.40%,9.90%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,36.49,35.35,42.11,38.86
Actual EPS,32.9,37.3,38.5,39.8
Difference,-3.59,1.95,-3.61,0.94
Surprise %,-9.80%,5.50%,-8.60%,2.40%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,37.9,34.68,150.45,171.22
30 days ago,37.9,34.68,150.45,171.22
60 days ago,37.9,34.68,150.45,171.22
90 days ago,37.9,34.68,150.45,171.22
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,1,N/A
Up last 30 days,N/A,N/A,1,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,BAJAJ-AUTO.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),64.93%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
