,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Net income,"5,21,19,100","5,21,19,100","4,92,76,100","4,21,89,500","4,07,94,900"
Depreciation & amortisation,"24,64,300","24,64,300","26,56,900","31,48,000","30,72,900"
Stock-based compensation,"1,00,100","1,00,100",-,-,-
Change in working capital,"36,57,900","36,57,900","-70,27,100","1,11,38,400","18,41,600"
Inventory,"-10,19,900","-10,19,900","-21,89,300","-1,42,000","-93,100"
Other working capital,"3,55,37,000","3,55,37,000","2,30,25,500","4,13,14,200","3,06,17,400"
Other non-cash items,"-96,72,200","-96,72,200","-1,33,18,700","-12,36,000","-21,99,200"
Net cash provided by operating activities,"3,85,04,400","3,85,04,400","2,48,68,600","4,32,78,400","3,26,73,600"
"Investments in property, plant and equipment","-29,67,400","-29,67,400","-18,43,100","-19,64,200","-20,56,200"
Purchases of investments,"-3,55,80,900","-3,55,80,900","-9,60,13,200","-7,48,65,000","-5,78,26,900"
Sales/maturities of investments,"5,34,59,000","5,34,59,000","9,35,51,900","5,54,72,500","2,23,32,400"
Net cash used for investing activities,"1,55,60,900","1,55,60,900","-33,84,400","-2,05,30,900","-3,68,31,600"
Net change in cash,"-63,24,000","-63,24,000","16,70,000","46,44,900","-53,38,800"
Cash at beginning of period,"91,56,400","91,56,400","77,56,000","28,75,000","81,99,100"
Cash at end of period,"28,54,000","28,54,000","91,56,400","77,56,000","28,75,000"
Operating cash flow,"3,85,04,400","3,85,04,400","2,48,68,600","4,32,78,400","3,26,73,600"
Capital expenditure,"-29,67,400","-29,67,400","-18,43,100","-19,64,200","-20,56,200"
Free cash flow,"3,55,37,000","3,55,37,000","2,30,25,500","4,13,14,200","3,06,17,400"
