,Open,High,Low,Close*,Adj. close**,Volume
10-Apr-2018,"2,790.00","2,799.00","2,762.45","2,766.45","2,537.43","2,98,049"
09-Apr-2018,"2,788.00","2,803.95","2,767.35","2,772.45","2,542.94","2,70,316"
06-Apr-2018,"2,814.95","2,824.05","2,776.25","2,786.40","2,555.73","2,82,872"
05-Apr-2018,"2,790.00","2,815.95","2,782.40","2,808.15","2,575.68","3,41,534"
04-Apr-2018,"2,807.00","2,816.00","2,746.25","2,766.00","2,537.02","3,08,672"
03-Apr-2018,"2,790.00","2,829.90","2,785.00","2,792.00","2,560.87","3,24,121"
02-Apr-2018,"2,755.00","2,815.95","2,749.00","2,808.95","2,576.42","3,96,178"
28-Mar-2018,"2,775.00","2,792.30","2,735.55","2,744.70","2,517.48","6,80,019"
27-Mar-2018,"2,861.00","2,863.90","2,791.00","2,798.30","2,566.65","3,04,403"
26-Mar-2018,"2,788.00","2,864.75","2,732.05","2,848.65","2,612.83","2,99,008"
23-Mar-2018,"2,814.90","2,817.25","2,745.00","2,789.95","2,558.99","4,51,122"
22-Mar-2018,"2,851.90","2,873.75","2,822.00","2,834.95","2,600.26","3,25,295"
21-Mar-2018,"2,889.95","2,890.45","2,835.35","2,851.80","2,615.72","2,31,405"
20-Mar-2018,"2,843.90","2,888.25","2,830.30","2,873.00","2,635.16","2,27,109"
19-Mar-2018,"2,913.55","2,920.85","2,842.65","2,849.45","2,613.56","2,31,927"
16-Mar-2018,"2,940.00","2,958.00","2,890.35","2,910.45","2,669.51","3,38,593"
15-Mar-2018,"2,960.00","2,971.90","2,936.50","2,948.75","2,704.64","1,81,457"
14-Mar-2018,"2,963.00","2,969.00","2,936.00","2,950.55","2,706.29","2,25,181"
13-Mar-2018,"2,959.00","3,004.00","2,952.95","2,971.75","2,725.74","2,87,288"
12-Mar-2018,"2,956.00","2,966.00","2,931.00","2,957.75","2,712.90","2,46,428"
09-Mar-2018,"2,934.00","2,966.90","2,918.15","2,935.40","2,692.40","2,05,178"
08-Mar-2018,"2,919.70","2,945.00","2,891.10","2,923.90","2,681.85","1,43,854"
07-Mar-2018,"2,898.00","2,940.00","2,875.00","2,903.90","2,663.50","1,85,188"
06-Mar-2018,"2,969.90","2,976.05","2,883.25","2,899.20","2,659.19","2,58,501"
05-Mar-2018,"3,020.90","3,020.90","2,931.75","2,943.55","2,699.87","2,87,300"
01-Mar-2018,"3,067.10","3,080.00","3,008.05","3,020.90","2,770.82","5,03,301"
28-Feb-2018,"3,010.00","3,056.65","2,990.00","3,020.60","2,770.54","5,19,406"
27-Feb-2018,"3,040.00","3,058.00","3,022.00","3,034.70","2,783.48","3,25,597"
26-Feb-2018,"3,004.00","3,044.00","3,000.90","3,008.70","2,759.63","2,03,189"
23-Feb-2018,"2,988.00","3,007.95","2,960.10","2,986.40","2,739.18","3,77,558"
22-Feb-2018,"3,014.80","3,014.80","2,966.00","2,974.30","2,728.08","3,69,716"
21-Feb-2018,"3,080.90","3,081.55","3,003.10","3,012.60","2,763.21","2,75,688"
20-Feb-2018,"3,032.00","3,070.50","3,010.75","3,049.85","2,797.37","2,36,222"
19-Feb-2018,"3,110.00","3,117.50","3,010.00","3,030.60","2,779.72","2,19,206"
16-Feb-2018,"3,158.00","3,158.00","3,095.55","3,103.90","2,846.95","1,32,450"
15-Feb-2018,"3,125.00","3,167.10","3,097.55","3,143.50","2,883.27","1,48,715"
14-Feb-2018,"3,155.00","3,159.95","3,100.00","3,109.75","2,852.31","2,86,070"
12-Feb-2018,"3,134.00","3,162.90","3,082.00","3,154.10","2,892.99","2,39,055"
09-Feb-2018,"3,129.00","3,142.50","3,080.85","3,099.25","2,842.68","1,75,504"
08-Feb-2018,"3,155.00","3,189.95","3,131.90","3,157.95","2,896.52","2,02,895"
07-Feb-2018,"3,198.30","3,198.30","3,125.20","3,135.55","2,875.98","2,23,029"
06-Feb-2018,"3,005.00","3,157.95","3,005.00","3,135.10","2,875.57","2,70,751"
05-Feb-2018,"3,200.00","3,233.00","3,140.60","3,185.55","2,921.84","5,85,934"
02-Feb-2018,"3,419.00","3,468.35","3,166.95","3,241.30","2,972.97","12,69,438"
01-Feb-2018,"3,340.00","3,421.20","3,290.00","3,412.95","3,130.41","4,39,064"
31-Jan-2018,"3,348.00","3,385.80","3,256.15","3,337.15","3,060.89","2,75,934"
30-Jan-2018,"3,373.95","3,404.95","3,341.10","3,358.30","3,080.29","4,25,678"
29-Jan-2018,"3,317.00","3,377.95","3,293.55","3,363.90","3,085.42","3,65,342"
25-Jan-2018,"3,344.00","3,345.90","3,295.00","3,311.70","3,037.55","2,46,647"
24-Jan-2018,"3,295.00","3,349.95","3,277.05","3,341.55","3,064.92","4,02,759"
23-Jan-2018,"3,280.00","3,324.00","3,272.05","3,295.95","3,023.10","3,24,780"
22-Jan-2018,"3,200.00","3,283.00","3,200.00","3,274.50","3,003.43","2,23,845"
19-Jan-2018,"3,207.80","3,223.75","3,173.45","3,210.40","2,944.63","1,43,928"
18-Jan-2018,"3,210.00","3,241.90","3,191.00","3,201.20","2,936.19","2,82,478"
17-Jan-2018,"3,158.00","3,216.60","3,154.35","3,194.15","2,929.73","2,24,799"
16-Jan-2018,"3,176.00","3,185.00","3,140.05","3,160.05","2,898.45","1,75,692"
15-Jan-2018,"3,182.20","3,189.00","3,154.50","3,166.00","2,903.91","1,09,156"
12-Jan-2018,"3,208.90","3,214.00","3,152.25","3,175.35","2,912.48","1,93,239"
11-Jan-2018,"3,210.00","3,220.30","3,180.15","3,193.40","2,929.04","3,24,132"
10-Jan-2018,"3,228.25","3,240.00","3,200.20","3,207.40","2,941.88","2,96,961"
09-Jan-2018,"3,276.00","3,284.50","3,231.05","3,243.50","2,974.99","3,24,363"
08-Jan-2018,"3,285.10","3,296.70","3,265.25","3,275.75","3,004.57","1,20,330"
05-Jan-2018,"3,263.00","3,294.00","3,244.05","3,279.85","3,008.33","1,13,508"
04-Jan-2018,"3,244.00","3,274.25","3,219.00","3,264.45","2,994.21","2,56,909"
03-Jan-2018,"3,310.00","3,310.20","3,231.55","3,241.05","2,972.74","3,72,267"
