,Most-recent transaction,Date,Shares owned as of transaction date
Bajaj (Deepa),Other,25-Jun-2020,"430,150"
Bajaj (Madhur),Gift,28-Jan-2020,"1,402,996"
Bajaj (Nimisha),Gift,28-Jan-2020,"657,876"
Bajaj (Rahulkumar),Gift,08-Jan-2020,"2,848,796"
Bajaj (Rajivnayan),Gift,08-Jan-2020,"340,900"
Bajaj (Rishabhnayan),Other,25-Jun-2020,"1,100"
Bajaj (Sanjali),Gift,07-Jan-2020,"116,566"
Bajaj (Shefali),Gift,07-Jan-2020,"118,566"
Bajaj Auto ESOP Trust,Acquisition,24-Mar-2020,"99,750"
Kejriwal (Sunaina),Gift,07-Jan-2020,"492,874"
