,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Net income,"3,36,91,300","3,36,91,300","3,21,90,400","2,74,14,400","2,26,19,200"
Depreciation & amortisation,"45,67,900","45,67,900",-,-,-
Stock-based compensation,"12,77,000","12,77,000",-,-,-
Change in working capital,"-30,31,33,800","-30,31,33,800",-,-,-
Other working capital,"-24,24,83,500","-24,24,83,500","-27,10,22,200","-19,36,07,900","-10,98,25,800"
Other non-cash items,"-17,33,23,900","-17,33,23,900",-,-,-
Net cash provided by operating activities,"-23,36,90,300","-23,36,90,300",-,-,-
"Investments in property, plant and equipment","-87,93,200","-87,93,200",-,-,-
Purchases of investments,"-6,14,95,81,500","-6,14,95,81,500",-,-,-
Sales/maturities of investments,"6,01,64,83,600","6,01,64,83,600",-,-,-
Other investing activities,"-3,89,000","-3,89,000",-,-,-
Net cash used for investing activities,"-9,94,80,000","-9,94,80,000","-6,87,75,600","-1,02,49,000","18,55,300"
Net change in cash,"1,16,23,200","1,16,23,200","55,50,400","-91,00,000","1,71,57,000"
Cash at beginning of period,"4,09,90,100","4,09,90,100","3,54,39,700","4,45,54,400","2,77,04,600"
Cash at end of period,"5,26,13,300","5,26,13,300","4,09,90,100","3,54,54,400","4,48,61,600"
Operating cash flow,"-23,36,90,300","-23,36,90,300",-,-,-
Capital expenditure,"-87,93,200","-87,93,200",-,-,-
Free cash flow,"-24,24,83,500","-24,24,83,500","-27,10,22,200","-19,36,07,900","-10,98,25,800"
