,Open,High,Low,Close*,Adj. close**,Volume
10-Apr-2018,"5,581.05","5,585.95","5,394.95","5,412.90","5,406.53","1,57,907"
09-Apr-2018,"5,488.00","5,579.00","5,454.55","5,561.30","5,554.75","1,37,636"
06-Apr-2018,"5,463.30","5,513.95","5,415.05","5,484.25","5,477.79","1,21,693"
05-Apr-2018,"5,333.00","5,500.00","5,315.00","5,443.85","5,437.44","2,05,387"
04-Apr-2018,"5,420.00","5,445.60","5,202.80","5,228.55","5,222.40","1,88,780"
03-Apr-2018,"5,269.00","5,418.45","5,232.60","5,381.60","5,375.27","1,89,750"
02-Apr-2018,"5,075.00","5,295.00","5,071.15","5,267.40","5,261.20","2,39,474"
28-Mar-2018,"5,230.00","5,299.00","5,021.55","5,171.55","5,165.46","12,29,462"
27-Mar-2018,"5,180.00","5,278.45","5,111.00","5,258.95","5,252.76","1,29,719"
26-Mar-2018,"5,128.00","5,187.85","5,063.15","5,151.05","5,144.99","1,26,482"
23-Mar-2018,"5,058.90","5,151.70","5,040.00","5,126.70","5,120.67","1,73,772"
22-Mar-2018,"5,100.00","5,135.45","5,090.00","5,119.85","5,113.82","73,966"
21-Mar-2018,"5,090.00","5,149.85","5,090.00","5,131.50","5,125.46","99,953"
20-Mar-2018,"4,945.00","5,090.00","4,942.55","5,080.85","5,074.87","1,07,777"
19-Mar-2018,"5,020.00","5,049.95","4,932.25","4,963.45","4,957.61","84,292"
16-Mar-2018,"4,971.60","5,085.00","4,971.60","5,011.35","5,005.45","1,78,245"
15-Mar-2018,"5,111.50","5,140.05","5,020.05","5,034.50","5,028.57","82,293"
14-Mar-2018,"5,090.00","5,134.40","5,053.45","5,111.60","5,105.58","78,975"
13-Mar-2018,"5,039.00","5,119.95","5,016.60","5,098.40","5,092.40","92,570"
12-Mar-2018,"5,002.50","5,077.85","4,967.20","5,040.05","5,034.12","1,07,704"
09-Mar-2018,"4,893.40","4,990.00","4,845.00","4,966.25","4,960.40","1,40,074"
08-Mar-2018,"4,863.95","4,889.00","4,800.00","4,864.60","4,858.87","1,02,351"
07-Mar-2018,"4,980.00","4,980.00","4,806.00","4,836.15","4,830.46","1,23,770"
06-Mar-2018,"5,075.50","5,097.95","4,955.00","4,980.65","4,974.79","86,842"
05-Mar-2018,"4,999.40","5,067.60","4,952.20","5,037.45","5,031.52","1,14,133"
01-Mar-2018,"5,052.00","5,087.90","4,986.00","4,999.40","4,993.52","84,916"
28-Feb-2018,"5,090.00","5,131.80","5,030.20","5,051.70","5,045.75","1,30,485"
27-Feb-2018,"5,208.00","5,227.50","5,101.10","5,121.35","5,115.32","82,961"
26-Feb-2018,"5,051.00","5,260.00","5,030.05","5,192.95","5,186.84","1,69,230"
23-Feb-2018,"4,943.15","5,057.00","4,940.00","5,019.65","5,013.74","1,36,396"
22-Feb-2018,"4,989.00","5,030.00","4,925.15","4,951.85","4,946.02","1,23,453"
21-Feb-2018,"5,040.00","5,050.25","4,955.10","4,973.45","4,967.60","1,00,845"
20-Feb-2018,"5,030.00","5,049.00","4,976.20","5,014.30","5,008.40","1,07,899"
19-Feb-2018,"5,095.00","5,119.85","4,970.00","5,000.75","4,994.86","1,46,928"
16-Feb-2018,"5,168.85","5,199.80","5,030.00","5,058.25","5,052.30","88,468"
15-Feb-2018,"5,200.00","5,291.00","5,112.05","5,130.35","5,124.31","1,04,197"
14-Feb-2018,"5,260.00","5,350.00","5,152.30","5,189.00","5,182.89","1,54,547"
12-Feb-2018,"5,096.30","5,244.00","5,042.80","5,235.45","5,229.29","1,41,176"
09-Feb-2018,"4,989.90","5,088.00","4,961.20","5,059.35","5,053.40","1,44,600"
