,Open,High,Low,Close*,Adj. close**,Volume
10-Apr-2018,"1,950.00","1,952.45","1,913.65","1,926.05","1,914.98","10,13,811"
09-Apr-2018,"1,942.60","1,967.75","1,930.25","1,944.25","1,933.08","11,31,792"
06-Apr-2018,"1,919.00","1,943.50","1,908.85","1,937.60","1,926.46","16,12,001"
05-Apr-2018,"1,866.00","1,922.10","1,866.00","1,915.60","1,904.59","13,85,959"
04-Apr-2018,"1,840.00","1,869.60","1,836.70","1,850.20","1,839.57","17,93,441"
03-Apr-2018,"1,820.00","1,840.00","1,801.60","1,834.25","1,823.71","10,49,457"
02-Apr-2018,"1,769.00","1,825.00","1,769.00","1,818.60","1,808.15","6,33,203"
28-Mar-2018,"1,777.00","1,793.00","1,760.80","1,767.55","1,757.39","9,86,960"
27-Mar-2018,"1,750.00","1,798.00","1,749.80","1,772.45","1,762.26","16,70,239"
26-Mar-2018,"1,698.90","1,748.00","1,686.00","1,741.60","1,731.59","12,88,984"
23-Mar-2018,"1,655.00","1,695.00","1,655.00","1,685.30","1,675.61","10,88,426"
22-Mar-2018,"1,708.00","1,720.00","1,690.15","1,695.60","1,685.85","11,53,716"
21-Mar-2018,"1,674.50","1,712.00","1,665.50","1,704.55","1,694.75","11,31,098"
20-Mar-2018,"1,627.00","1,663.10","1,615.20","1,657.30","1,647.77","13,18,758"
19-Mar-2018,"1,698.90","1,698.90","1,627.00","1,631.85","1,622.47","8,48,984"
16-Mar-2018,"1,712.00","1,724.65","1,681.05","1,687.90","1,678.20","10,17,699"
15-Mar-2018,"1,715.10","1,739.90","1,714.00","1,726.25","1,716.33","7,39,187"
14-Mar-2018,"1,672.00","1,720.90","1,668.25","1,710.10","1,700.27","8,48,659"
13-Mar-2018,"1,665.50","1,698.85","1,663.60","1,680.70","1,671.04","8,20,802"
12-Mar-2018,"1,663.00","1,681.90","1,655.05","1,665.25","1,655.68","4,86,187"
09-Mar-2018,"1,635.00","1,667.20","1,616.45","1,654.20","1,644.69","8,39,718"
08-Mar-2018,"1,634.95","1,637.90","1,594.20","1,628.05","1,618.69","6,63,196"
07-Mar-2018,"1,641.00","1,648.65","1,606.00","1,618.35","1,609.05","6,44,577"
06-Mar-2018,"1,655.00","1,671.85","1,627.60","1,637.75","1,628.34","9,44,176"
05-Mar-2018,"1,660.00","1,660.00","1,621.00","1,636.95","1,627.54","7,43,779"
01-Mar-2018,"1,635.00","1,666.00","1,628.00","1,659.35","1,649.81","12,38,390"
28-Feb-2018,"1,644.00","1,659.60","1,629.00","1,640.25","1,630.82","17,56,349"
27-Feb-2018,"1,676.00","1,679.95","1,651.00","1,656.80","1,647.28","6,05,244"
26-Feb-2018,"1,640.00","1,679.80","1,636.50","1,674.95","1,665.32","10,36,659"
23-Feb-2018,"1,606.80","1,638.00","1,602.35","1,633.40","1,624.01","7,11,474"
22-Feb-2018,"1,588.00","1,617.50","1,576.45","1,600.35","1,591.15","10,50,625"
21-Feb-2018,"1,658.00","1,658.00","1,587.30","1,596.45","1,587.27","16,89,744"
20-Feb-2018,"1,654.85","1,657.70","1,626.00","1,638.75","1,629.33","5,83,955"
19-Feb-2018,"1,675.00","1,675.00","1,623.55","1,642.70","1,633.26","6,95,310"
16-Feb-2018,"1,690.00","1,703.95","1,671.55","1,675.25","1,665.62","9,47,685"
15-Feb-2018,"1,678.80","1,711.85","1,601.80","1,677.05","1,667.41","11,77,116"
14-Feb-2018,"1,654.00","1,696.95","1,651.55","1,669.95","1,660.35","10,66,036"
12-Feb-2018,"1,645.00","1,656.00","1,635.30","1,643.80","1,634.35","4,72,115"
09-Feb-2018,"1,629.05","1,655.00","1,617.30","1,639.40","1,629.98","7,03,720"
08-Feb-2018,"1,654.00","1,679.00","1,638.05","1,662.15","1,652.60","7,50,746"
07-Feb-2018,"1,680.00","1,687.00","1,620.60","1,641.65","1,632.21","14,66,983"
06-Feb-2018,"1,530.00","1,683.75","1,511.20","1,662.15","1,652.60","21,09,416"
05-Feb-2018,"1,600.00","1,627.95","1,546.50","1,604.95","1,595.73","14,72,164"
02-Feb-2018,"1,708.05","1,713.00","1,620.20","1,628.90","1,619.54","16,45,045"
01-Feb-2018,"1,681.80","1,760.00","1,644.75","1,729.45","1,719.51","19,39,812"
31-Jan-2018,"1,657.45","1,690.00","1,645.00","1,677.85","1,668.21","13,32,225"
30-Jan-2018,"1,715.00","1,718.95","1,671.00","1,678.40","1,668.75","6,80,104"
29-Jan-2018,"1,711.00","1,735.25","1,710.00","1,715.30","1,705.44","6,43,137"
25-Jan-2018,"1,741.00","1,741.90","1,703.40","1,710.30","1,700.47","8,80,891"
24-Jan-2018,"1,715.00","1,746.85","1,697.05","1,739.15","1,729.15","14,41,313"
23-Jan-2018,"1,710.00","1,718.00","1,692.40","1,708.70","1,698.88","12,45,493"
22-Jan-2018,"1,714.00","1,726.00","1,678.00","1,706.35","1,696.54","9,24,498"
19-Jan-2018,"1,660.90","1,711.25","1,632.60","1,701.90","1,692.12","9,74,597"
18-Jan-2018,"1,712.00","1,717.25","1,654.00","1,660.70","1,651.15","9,61,692"
17-Jan-2018,"1,695.10","1,709.85","1,665.70","1,701.20","1,691.42","11,99,501"
16-Jan-2018,"1,745.80","1,745.80","1,684.60","1,687.35","1,677.65","10,76,581"
15-Jan-2018,"1,771.00","1,794.90","1,733.00","1,738.15","1,728.16","8,47,037"
12-Jan-2018,"1,783.00","1,790.90","1,751.15","1,770.10","1,759.93","6,06,316"
11-Jan-2018,"1,798.00","1,798.00","1,773.05","1,780.35","1,770.12","8,18,471"
