Insider,Insider Type,Type,Date,Shares
Panchal (Ashish),UNREPORTED,Direct,24-Jun-2020,"7,000"
Muralidharan (M M),UNREPORTED,Direct,15-Apr-2020,"51,750"
Jain (Manish),UNREPORTED,Direct,30-Dec-2019,"2,500"
Jain (Sandeep),UNREPORTED,Direct,26-May-2020,"6,000"
Verma (Raul Raj),UNREPORTED,Direct,12-Dec-2019,"1,336"
Sharda (Ajay),UNREPORTED,Direct,23-Jun-2020,"3,706"
Mianwal (Shri Manav),UNREPORTED,Direct,05-Mar-2020,"2,000"
Bagati (Deepak),UNREPORTED,Direct,23-Jun-2020,"8,000"
Bhowmick (Rajib),UNREPORTED,Direct,05-Dec-2019,350
Javed (Mohd),UNREPORTED,Direct,15-May-2020,935
Raghuvanshi (Amit),UNREPORTED,Direct,13-May-2020,"13,500"
Chottani (Anurag),UNREPORTED,Direct,29-May-2020,"13,000"
Kothare (Jayant P),UNREPORTED,Direct,19-Jun-2020,"1,750"
Likhite (Vivek),UNREPORTED,Direct,16-Apr-2020,"22,000"
Dadwal (Sidhant),UNREPORTED,Direct,05-Jun-2020,"2,388"
Jain (Shri Atul),Chief Executive Officer,Direct,27-Mar-2020,"4,000"
Jain (Rajeev),Managing Director,Direct,24-Dec-2019,"57,000"
Sridhar (Shri J),UNREPORTED,Direct,27-May-2020,"7,250"
Irani (Kurush H),UNREPORTED,Direct,26-May-2020,"2,500"
Shah (Hemen),UNREPORTED,Direct,17-Mar-2020,250
Kamble (Dilip),UNREPORTED,Direct,11-May-2020,"6,500"
Sarjan (Fakhari),UNREPORTED,Direct,31-Mar-2020,688
Solanki (Vijay),UNREPORTED,Direct,02-Mar-2020,"3,718"
Reddy (Deepak),UNREPORTED,Direct,23-Mar-2020,"3,100"
Jamnalal Sons Pvt. Ltd.,UNREPORTED,Direct,19-Mar-2020,"72,000"
Baroda Industries Pvt. Ltd.,UNREPORTED,Direct,16-Mar-2020,"63,000"
Raj (Shri Ashwindher),UNREPORTED,Direct,19-Mar-2020,380
Patil (Shri Nikhil),UNREPORTED,Direct,13-Mar-2020,"1,308"
Kacha (Rakesh),UNREPORTED,Direct,03-Mar-2020,"1,200"
Kakade (Ajita),UNREPORTED,Direct,04-Mar-2020,538
Rajesh (K),UNREPORTED,Direct,28-Feb-2020,"1,478"
Bajaj Allianz General Insurance Company Limited,Institution- Corporation,Direct,11-Dec-2019,100
Bajaj (Rahulkumar),Non Executive Chairman,Direct,07-Jan-2020,"8,600"
Bajaj (Rajivnayan),UNREPORTED,Direct,07-Jan-2020,"176,000"
Kapil (Rishi Suresh),UNREPORTED,Direct,25-Nov-2019,250
