,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"6,21,21,000","4,78,86,000","1,28,17,000"
Other short-term investments,"4,65,05,000","7,24,39,000","2,02,83,000"
Total cash,"10,86,26,000","12,03,25,000","3,31,00,000"
Net receivables,"4,30,06,000","5,88,30,000","4,98,38,000"
Inventory,"8,84,000","6,93,000","4,88,000"
Other current assets,"42,13,000","24,59,000","20,37,000"
Total current assets,"32,90,57,000","33,49,90,000","20,31,50,000"
"Gross property, plant and equipment","1,90,72,41,000","1,62,12,66,000","1,41,64,89,000"
Accumulated depreciation,"-1,00,35,80,000","-86,30,98,000","-77,24,59,000"
"Net property, plant and equipment","90,36,61,000","75,81,68,000","64,40,30,000"
Goodwill,"33,25,62,000","32,80,70,000","33,80,82,000"
Intangible assets,"86,84,34,000","88,32,78,000","90,86,24,000"
Other long-term assets,"1,88,60,000","13,05,000","24,55,000"
Total non-current assets,"2,42,29,18,000","2,17,08,26,000","2,12,43,52,000"
Total assets,"2,75,19,75,000","2,50,58,16,000","2,32,75,02,000"
Current debt,"38,18,29,000","26,39,15,000","17,79,08,000"
Accounts payable,"28,00,31,000","27,76,75,000","26,85,37,000"
Other current liabilities,"40,000","4,37,000","85,12,000"
Total current liabilities,"93,05,49,000","78,23,99,000","62,94,47,000"
Deferred tax liabilities,"1,12,97,000","1,06,06,000","94,29,000"
Deferred revenues,"1,84,15,000","2,27,40,000","2,30,62,000"
Total non-current liabilities,"97,19,46,000","93,99,34,000","95,47,42,000"
Total liabilities,"1,90,24,95,000","1,72,23,33,000","1,58,41,89,000"
Common stock,"1,99,87,000","1,99,87,000","1,99,87,000"
Retained earnings,"45,47,30,000","47,54,81,000","48,36,38,000"
Total stockholders' equity,"71,42,22,000","69,53,44,000","67,45,63,000"
Total liabilities and stockholders' equity,"2,75,19,75,000","2,50,58,16,000","2,32,75,02,000"
