,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"-26,83,90,000","40,95,000","1,09,90,000","3,79,98,000"
Depreciation & amortisation,"26,12,80,000","21,34,75,000","19,24,31,000","19,77,30,000"
Stock-based compensation,-,"3,45,000","4,13,000","3,38,000"
Change in working capital,"-41,55,000","-5,81,96,000","59,06,000","-2,74,29,000"
Inventory,-,"-1,91,000","-2,02,000","9,48,000"
Other working capital,"10,03,75,000","-9,68,95,000","3,55,30,000","-9,61,98,000"
Other non-cash items,"43,16,88,000","7,50,11,000","9,14,50,000","7,69,63,000"
Net cash provided by operating activities,"30,98,22,000","19,78,80,000","29,85,38,000","29,23,09,000"
"Investments in property, plant and equipment","-20,94,47,000","-29,47,75,000","-26,30,08,000","-38,85,07,000"
"Acquisitions, net","-95,36,000","-51,43,000","-1,95,58,000","-5,33,000"
Purchases of investments,"-18,63,23,000","-5,70,67,000","-5,02,59,000","-8,90,73,000"
Sales/maturities of investments,"3,81,26,000","6,31,34,000","3,64,95,000","8,30,04,000"
Other investing activities,"-1,17,22,000","-1,17,20,000","-99,09,000",-
Net cash used for investing activities,"-37,37,42,000","-28,50,09,000","-27,96,76,000","-31,55,54,000"
Net change in cash,"6,72,40,000","75,09,000","3,80,67,000","-2,67,59,000"
Cash at beginning of period,"1,22,42,000","2,84,68,000","-98,80,000","1,76,35,000"
Cash at end of period,"7,94,81,000","3,73,15,000","2,84,68,000","-98,80,000"
Operating cash flow,"30,98,22,000","19,78,80,000","29,85,38,000","29,23,09,000"
Capital expenditure,"-20,94,47,000","-29,47,75,000","-26,30,08,000","-38,85,07,000"
Free cash flow,"10,03,75,000","-9,68,95,000","3,55,30,000","-9,61,98,000"
