,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"84,41,85,000","80,78,02,000","83,68,79,000","95,46,83,000"
Cost of revenue,"38,79,83,000","39,77,02,000","38,03,15,000","41,64,63,000"
Gross profit,"45,62,02,000","41,01,00,000","45,65,64,000","53,82,20,000"
Selling general and administrative,"3,98,64,000","4,60,71,000","6,08,38,000","7,79,35,000"
Total operating expenses,"36,23,49,000","34,10,33,000","34,81,42,000","38,16,09,000"
Operating income or loss,"9,38,53,000","6,90,67,000","10,84,22,000","15,66,11,000"
Interest expense,"10,97,03,000","9,05,66,000","6,46,92,000","6,71,31,000"
Income before tax,"-35,12,25,000","-1,73,18,000","3,26,70,000","7,72,33,000"
Income tax expense,"-10,01,14,000","-3,41,93,000","1,08,35,000","3,48,19,000"
Income from continuing operations,"-25,11,11,000","1,68,75,000","2,18,35,000","4,24,14,000"
Net income,"-26,83,90,000","40,95,000","1,09,90,000","3,79,98,000"
Net income available to common shareholders,"-26,83,90,000","40,95,000","1,09,90,000","3,79,98,000"
Basic EPS,-,0.94,2.52,8.73
Diluted EPS,-,0.94,2.52,8.73
Basic average shares,-,"43,51,847","43,52,169","43,51,896"
Diluted average shares,-,"43,54,073","43,54,043","43,53,376"
EBITDA,-,"28,67,23,000","28,97,93,000","34,20,94,000"
