,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,286.47,290.60,281.88,282.71,266.75,"63,64,752"
08-Apr-2010,292.90,295.19,284.64,287.30,271.08,"67,50,418"
07-Apr-2010,291.06,299.14,288.03,294.18,277.58,"56,64,078"
06-Apr-2010,291.52,292.71,286.29,290.56,274.16,"40,53,513"
05-Apr-2010,281.88,292.12,277.75,290.19,273.81,"1,05,43,536"
01-Apr-2010,287.02,290.60,275.96,277.29,261.64,"1,41,53,615"
31-Mar-2010,283.44,293.54,281.88,286.98,270.78,"73,94,110"
30-Mar-2010,286.01,290.14,284.41,285.42,269.31,"36,31,982"
29-Mar-2010,285.55,289.13,284.82,286.65,270.47,"30,45,744"
26-Mar-2010,289.09,290.05,280.04,284.77,268.70,"78,28,909"
25-Mar-2010,284.64,290.14,278.21,288.67,272.38,"1,11,71,689"
23-Mar-2010,291.25,294.73,280.55,282.48,266.53,"61,19,898"
22-Mar-2010,282.34,293.63,281.88,290.47,274.07,"72,75,138"
19-Mar-2010,275.45,287.25,275.45,286.38,270.22,"83,48,882"
18-Mar-2010,275.41,278.67,272.79,275.55,259.99,"48,89,785"
17-Mar-2010,271.78,276.83,271.46,273.66,258.22,"36,27,804"
16-Mar-2010,274.08,274.54,268.61,270.68,255.40,"29,86,594"
15-Mar-2010,266.27,276.65,266.27,274.99,259.47,"34,13,669"
12-Mar-2010,269.03,275.77,269.03,274.63,259.13,"44,05,195"
11-Mar-2010,265.26,271.37,264.76,269.90,254.66,"43,89,219"
10-Mar-2010,268.11,270.40,260.76,264.43,249.51,"58,64,998"
09-Mar-2010,268.11,270.08,263.56,267.46,252.37,"41,22,954"
08-Mar-2010,273.76,278.02,267.19,268.75,253.58,"68,14,309"
05-Mar-2010,269.94,278.90,269.03,274.03,258.56,"88,95,757"
04-Mar-2010,266.27,270.77,266.27,269.58,254.36,"35,95,963"
03-Mar-2010,269.03,270.77,266.55,268.06,252.93,"55,52,156"
02-Mar-2010,257.09,268.84,257.09,266.45,251.41,"68,22,032"
26-Feb-2010,255.25,258.93,253.23,256.49,242.02,"69,96,919"
25-Feb-2010,254.34,257.09,252.96,253.65,239.33,"70,01,121"
24-Feb-2010,257.09,257.09,252.50,253.37,239.07,"56,65,225"
23-Feb-2010,252.50,258.19,252.50,257.18,242.67,"40,72,598"
22-Feb-2010,258.01,259.84,253.42,254.24,239.89,"61,67,576"
19-Feb-2010,257.60,260.67,251.86,255.99,241.54,"95,82,806"
18-Feb-2010,256.17,261.13,253.42,258.83,244.22,"76,41,742"
17-Feb-2010,251.03,258.70,251.03,256.31,241.84,"1,75,69,953"
16-Feb-2010,262.60,265.81,247.31,249.38,235.30,"4,90,59,303"
15-Feb-2010,291.06,291.06,261.13,262.23,247.43,"2,06,63,298"
11-Feb-2010,289.68,291.89,285.32,288.77,272.47,"36,73,279"
10-Feb-2010,289.23,292.35,282.98,289.50,273.16,"59,00,595"
09-Feb-2010,284.64,290.60,281.88,287.53,271.30,"66,72,234"
08-Feb-2010,277.38,285.09,274.90,283.12,267.14,"52,37,082"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,277.29,279.54,270.31,275.50,259.95,"42,64,660"
04-Feb-2010,281.88,283.72,275.91,279.22,263.46,"28,08,775"
