Insider,Insider Type,Type,Date,Shares
Gupta (Sandeep),UNREPORTED,Direct,14-Oct-2019,410
Goenka (Ashish),Divisional Officer,Direct,25-Oct-2018,"16,000"
Gulati (Vidyut),UNREPORTED,Direct,21-May-2020,"1,000"
Bagri (Badal),Chief Financial Officer,Direct,14-Aug-2018,"3,000"
Bharti Telecom Ltd,Promoter,Direct,26-May-2020,"148,128,169"
Relan (Rohit),UNREPORTED,Direct,25-Sep-2018,"4,475"
Gandhi (Ravi Prakash),Officer,Direct,29-May-2019,"11,529"
Bharti Airtel Employee Welfare Trust,Institution- Corporation,Direct,24-Sep-2018,"26,154"
Nath (Vir Inder),UNREPORTED,Direct,09-Dec-2019,"11,965"
Puri (Ajai),Chief Operating Officer,Direct,31-Aug-2018,"10,000"
Chitkara (Ajay),Chief Executive Officer,Direct,05-Dec-2018,"13,133"
Bharti Airtel Fractional Share Entitlement Trust,Institution- Corporation,Direct,22-Nov-2019,"79,529"
Sanghi (Deepak),UNREPORTED,Direct,20-Nov-2019,"1,076"
Rathor (Anjani Kumar),UNREPORTED,Direct,25-Oct-2019,"16,754"
Vittal (Gopal),Chief Executive Officer,Direct,30-Aug-2018,"10,000"
Venkatesh (Vani),UNREPORTED,Direct,24-Sep-2019,"8,524"
Agarwal (Manisha),UNREPORTED,Direct,30-Aug-2018,"7,709"
Batra (Sameer),UNREPORTED,Direct,04-Jul-2019,"9,990"
Gupta (Akhil),UNREPORTED,Direct,13-May-2019,"2,119,597"
Desai (Raveendra),UNREPORTED,Direct,13-Aug-2019,"6,746"
Tripathi (Amit),UNREPORTED,Direct,15-Jul-2019,"1,935"
Mehta (Harmeen),UNREPORTED,Direct,21-Aug-2018,"17,200"
Malhotra (shefali),UNREPORTED,Direct,29-Aug-2018,"2,777"
Khajuria (Dharmender),UNREPORTED,Direct,02-Apr-2019,200
Khandelwal (Gaurav),UNREPORTED,Direct,30-Aug-2018,"10,827"
Anand (Gautam),UNREPORTED,Direct,28-Aug-2018,"10,624"
Sood (Manu),UNREPORTED,Direct,30-May-2019,"9,418"
Surendran (C),UNREPORTED,Direct,29-May-2019,"5,049"
Viridian Ltd,UNREPORTED,Direct,29-May-2019,"748,105,400"
Khanna (Devendra),UNREPORTED,Direct,22-Apr-2019,"59,525"
Mathen (George),UNREPORTED,Direct,29-May-2019,"6,222"
Anchal (Amit),UNREPORTED,Direct,29-May-2019,"4,563"
Gyamlani (Moti),Divisional Officer,Direct,12-Oct-2018,"39,921"
Roy (Nilanjan),Chief Financial Officer,Direct,11-Feb-2019,"7,729"
Murali (Manoj),UNREPORTED,Direct,04-Oct-2018,"1,000"
Govindan (Krishnan),UNREPORTED,Direct,04-Oct-2018,"7,148"
Kanade (Sarang Vinayak),UNREPORTED,Direct,21-Nov-2018,"32,431"
Pidikiti (Aruna),UNREPORTED,Direct,01-Aug-2018,"3,430"
Guruswamy (Hemanth),UNREPORTED,Direct,11-Sep-2018,916
Varaprasad (Chamakura Venkata Narasimha),UNREPORTED,Direct,21-Aug-2018,"3,017"
Savargaonkar (Abhay),Chief Technology Officer,Direct,11-Sep-2018,"9,569"
Anjaria (Sameer),UNREPORTED,Direct,11-Sep-2018,"12,226"
Balachandran (Srikanth),UNREPORTED,Direct,05-Sep-2018,"38,596"
Mathrani (Rajiv Kumar),UNREPORTED,Direct,30-Aug-2018,"11,848"
Kohli (Aditya),UNREPORTED,Direct,21-Aug-2018,"14,714"
Kala (Sameer),UNREPORTED,Direct,21-Aug-2018,"8,958"
