,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,2,2,13,12
Avg. Estimate,759.49B,793.26B,3.12T,3.24T
Low estimate,677.81B,739.43B,2.26T,2.5T
High estimate,841.16B,847.09B,3.68T,3.91T
Year ago EPS,10.9,13.59,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,606.16B,652.39B,2.36T,3.12T
Sales growth (year/est),25.30%,21.60%,31.80%,3.90%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,12.36,11.71,9.87,8.91
Actual EPS,10.9,13.59,11.66,6.2
Difference,-1.46,1.88,1.79,-2.71
Surprise %,-11.80%,16.10%,18.10%,-30.40%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,7.13,7.79,34.71,39.12
30 days ago,7.13,7.79,34.71,39.12
60 days ago,7.13,7.79,34.71,39.12
90 days ago,7.13,7.79,34.71,39.12
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,1
Up last 30 days,N/A,N/A,N/A,1
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,1,N/A
Growth estimates,BPCL.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),5.31%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
