,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"41,42,500","1,35,38,600","1,88,45,400"
Other short-term investments,"6,01,66,000","5,44,92,800","3,47,27,900"
Total cash,"6,43,08,500","6,80,31,400","5,35,73,300"
Net receivables,"6,90,62,500","5,20,47,900","4,37,99,900"
Inventory,"22,93,48,700","22,52,95,200","21,19,67,800"
Other current assets,"8,65,43,300","3,86,00,600","2,36,59,500"
Total current assets,"48,78,15,900","40,59,92,800","37,91,00,800"
"Gross property, plant and equipment","66,45,07,500","56,55,34,300","49,37,50,700"
Accumulated depreciation,"-10,07,87,000","-6,74,64,400","-4,10,33,500"
"Net property, plant and equipment","56,37,20,500","49,80,69,900","45,27,17,200"
Intangible assets,"6,59,70,400","5,60,74,100","5,24,57,100"
Other long-term assets,-,-,200
Total non-current assets,"88,14,87,900","79,82,12,800","71,17,61,800"
Total assets,"1,36,93,03,800","1,20,42,05,600","1,09,08,62,600"
Current debt,"10,52,35,200","8,75,50,800","12,47,01,100"
Accounts payable,"17,53,52,700","13,42,36,900","11,54,26,000"
Other current liabilities,"3,96,07,400","3,69,93,700",-
Total current liabilities,"53,10,97,200","45,70,18,500","47,35,62,300"
Long-term debt,"34,31,55,800","28,90,42,800","23,25,53,300"
Deferred tax liabilities,"6,79,20,100","5,52,24,000","4,05,48,000"
Deferred revenues,"28,40,100",-,"8,17,600"
Other long-term liabilities,-,"14,30,500",-
Total non-current liabilities,"42,98,59,000","36,19,50,500","28,95,20,900"
Total liabilities,"96,09,56,200","81,89,69,000","76,30,83,200"
Common stock,"1,96,68,800","1,96,68,800","1,31,12,500"
Retained earnings,"4,03,30,600","3,54,50,700","1,47,35,200"
Total stockholders' equity,"38,76,47,200","36,61,85,700","32,48,80,200"
Total liabilities and stockholders' equity,"1,36,93,03,800","1,20,42,05,600","1,09,08,62,600"
