,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"7,81,47,700","7,80,23,000","9,00,86,300","8,72,09,400"
Depreciation & amortisation,-,"3,41,77,700","2,88,50,000","2,10,76,400"
Change in working capital,-,"-3,53,14,900","-1,27,41,600","-1,77,32,500"
Inventory,-,"-40,39,300","-1,33,27,400","-6,55,30,800"
Other working capital,-,"-38,41,500","3,23,28,400","-50,30,500"
Other non-cash items,-,"1,19,88,900","-1,37,500","10,24,700"
Net cash provided by operating activities,-,"10,15,71,500","11,06,83,700","9,05,61,500"
"Investments in property, plant and equipment",-,"-10,54,13,000","-7,83,55,300","-9,55,92,000"
"Acquisitions, net",-,"-1,16,90,700","-1,42,41,800","-7,44,91,000"
Purchases of investments,-,"-49,83,00,500","-26,09,80,100","-11,38,60,600"
Sales/maturities of investments,-,"49,64,12,600","26,78,63,100","11,82,88,700"
Other investing activities,-,-,-,"34,000"
Net cash used for investing activities,-,"-10,45,11,700","-7,06,55,100","-15,25,89,400"
Net change in cash,-,"-8,69,800","-1,43,400","-1,39,88,300"
Cash at beginning of period,-,"28,68,300","60,79,400","2,03,68,100"
Cash at end of period,-,"19,98,500","59,36,000","63,79,800"
Operating cash flow,-,"10,15,71,500","11,06,83,700","9,05,61,500"
Capital expenditure,-,"-10,54,13,000","-7,83,55,300","-9,55,92,000"
Free cash flow,-,"-38,41,500","3,23,28,400","-50,30,500"
