,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,85.33,85.33,84.19,84.32,34.23,"20,76,030"
08-Apr-2010,84.75,85.57,83.67,84.81,34.43,"37,43,604"
07-Apr-2010,83.50,86.32,83.50,84.23,34.20,"22,37,664"
06-Apr-2010,84.75,86.30,84.33,84.48,34.30,"54,42,744"
05-Apr-2010,85.50,85.83,84.35,84.76,34.41,"41,70,486"
01-Apr-2010,86.42,86.63,85.17,85.31,34.63,"11,65,464"
31-Mar-2010,87.67,87.67,85.07,86.34,35.05,"24,09,612"
30-Mar-2010,88.33,88.72,86.85,87.02,35.33,"24,82,128"
29-Mar-2010,86.67,88.52,84.89,87.82,35.65,"55,02,078"
26-Mar-2010,84.19,85.78,83.88,85.02,34.52,"47,44,176"
25-Mar-2010,86.17,86.17,83.71,84.19,34.18,"68,84,730"
23-Mar-2010,88.28,89.17,84.75,85.27,34.62,"62,58,594"
22-Mar-2010,86.00,88.28,85.83,86.25,35.02,"35,20,938"
19-Mar-2010,88.33,88.50,86.67,87.10,35.36,"34,09,062"
18-Mar-2010,87.50,90.47,87.10,87.78,35.64,"29,42,634"
17-Mar-2010,91.17,91.47,89.38,89.67,36.40,"29,90,928"
16-Mar-2010,88.33,91.17,88.17,90.88,36.89,"31,89,732"
15-Mar-2010,89.50,89.83,86.71,88.03,35.74,"23,37,504"
12-Mar-2010,89.33,89.33,87.17,87.79,35.64,"25,96,452"
11-Mar-2010,89.33,89.82,87.53,88.34,35.87,"35,44,668"
10-Mar-2010,89.50,90.67,89.36,89.53,36.35,"31,44,120"
09-Mar-2010,91.00,91.58,89.17,89.41,36.30,"49,35,318"
08-Mar-2010,90.50,91.97,89.35,90.32,36.67,"33,92,796"
05-Mar-2010,89.47,90.42,89.47,90.04,36.56,"45,33,558"
04-Mar-2010,90.17,90.67,88.78,89.15,36.19,"53,75,784"
03-Mar-2010,90.33,91.63,89.67,90.32,36.67,"27,89,838"
02-Mar-2010,95.17,95.17,89.76,90.16,36.60,"57,42,396"
