,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,3,2,3,3
Avg. Estimate,28.68B,28.62B,107.81B,123.06B
Low estimate,28.11B,28.23B,105.86B,121.2B
High estimate,29.01B,29B,111.17B,126.25B
Year ago EPS,10.38,10.19,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,24.11B,23.88B,93.04B,107.81B
Sales growth (year/est),18.90%,19.80%,15.90%,14.10%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,10.93,10.75,11.02,12.65
Actual EPS,10.38,10.19,10.25,11.8
Difference,-0.55,-0.56,-0.77,-0.85
Surprise %,-5.00%,-5.20%,-7.00%,-6.70%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,13.7,13.93,50.02,59.39
30 days ago,13.7,13.93,50.02,59.39
60 days ago,13.7,13.93,50.02,59.39
90 days ago,13.7,13.93,50.02,59.39
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,N/A,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,1,N/A
Growth estimates,BRITANNIA.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),20.42%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
