,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"8,12,300","6,03,200","12,99,100","12,07,600"
Other short-term investments,"1,03,57,300","78,67,400","90,78,900","17,48,500"
Total cash,"1,11,69,600","84,70,600","1,03,78,000","29,56,100"
Net receivables,"32,03,600","39,42,400","30,46,000","17,91,600"
Inventory,"74,09,600","78,13,800","65,27,900","66,14,500"
Other current assets,"3,37,800","5,17,800","2,10,000","3,41,200"
Total current assets,"3,67,49,700","3,52,63,400","3,15,12,800","2,33,92,400"
"Gross property, plant and equipment","2,47,13,000","2,12,31,100","1,72,17,400","1,19,44,100"
Accumulated depreciation,"-71,53,100","-48,62,900","-32,44,800","-15,90,500"
"Net property, plant and equipment","1,75,59,900","1,63,68,200","1,39,72,600","1,03,53,600"
Goodwill,"13,89,700","13,03,700","12,82,000","12,78,400"
Intangible assets,"83,700","76,200","79,700","1,16,100"
Other long-term assets,-700,-,-,-
Total non-current assets,"4,16,72,600","2,71,54,800","2,03,66,400","1,76,95,600"
Total assets,"7,84,22,300","6,24,18,200","5,18,79,200","4,10,88,000"
Current debt,"76,91,500","9,54,300","12,89,900","10,29,000"
Accounts payable,"1,11,62,800","1,14,05,100","99,40,900","75,73,100"
Other current liabilities,"6,80,200","5,20,100","5,46,400","6,57,300"
Total current liabilities,"2,56,53,000","1,85,14,100","1,64,79,700","1,34,54,000"
Long-term debt,"76,48,800","6,16,600","8,42,700","3,09,600"
Deferred tax liabilities,"1,26,900","38,700",-,-
Deferred revenues,"2,95,100","2,60,200","2,52,000",-
Other long-term liabilities,-,-,"19,400","22,700"
Total non-current liabilities,"83,84,500","10,44,800","12,05,800","6,43,800"
Total liabilities,"3,40,37,500","1,95,58,900","1,76,85,500","1,40,97,800"
Common stock,"2,40,500","2,40,300","2,40,100","2,40,000"
Retained earnings,"3,16,27,700","3,39,25,300","2,70,27,700","2,11,68,700"
Total stockholders' equity,"4,40,28,300","4,25,32,500","3,40,62,300","2,69,64,200"
Total liabilities and stockholders' equity,"7,84,22,300","6,24,18,200","5,18,79,200","4,10,88,000"
