,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Net income,"1,40,26,300","1,40,26,300","1,15,91,200","1,00,42,300","88,46,100"
Depreciation & amortisation,"18,48,100","18,48,100","16,18,800","14,20,700","11,92,700"
Stock-based compensation,"2,15,800","2,15,800","1,61,200","86,400","54,700"
Change in working capital,"12,73,900","12,73,900","-24,900","22,82,700","-45,13,600"
Inventory,"4,29,900","4,29,900","-12,72,100","87,600","-22,13,500"
Other working capital,"1,24,03,600","1,24,03,600","75,45,700","82,58,400","8,15,000"
Other non-cash items,"-9,98,700","-9,98,700","-12,76,800","-9,64,400","-8,43,300"
Net cash provided by operating activities,"1,48,45,300","1,48,45,300","1,15,57,800","1,24,87,700","44,12,800"
"Investments in property, plant and equipment","-24,41,700","-24,41,700","-40,12,100","-42,29,300","-35,97,800"
"Acquisitions, net",-,-,-,0,"-1,45,000"
Purchases of investments,"-1,32,66,300","-1,32,66,300","-33,41,200","-53,73,700",-
Sales/maturities of investments,-,-,-,-,"35,93,300"
Net cash used for investing activities,"-1,53,16,200","-1,53,16,200","-85,55,300","-95,62,600","-14,98,500"
Net change in cash,"1,08,500","1,08,500","-5,24,300","6,07,600","-36,500"
Cash at beginning of period,"5,87,200","5,87,200","10,78,400","4,73,400","5,09,900"
Cash at end of period,"7,52,600","7,52,600","5,87,200","10,81,000","4,73,400"
Operating cash flow,"1,48,45,300","1,48,45,300","1,15,57,800","1,24,87,700","44,12,800"
Capital expenditure,"-24,41,700","-24,41,700","-40,12,100","-42,29,300","-35,97,800"
Free cash flow,"1,24,03,600","1,24,03,600","75,45,700","82,58,400","8,15,000"
