,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Total revenue,"11,56,93,400","11,56,93,400","11,02,98,200","9,88,44,800","9,01,58,500"
Cost of revenue,"6,92,74,700","6,92,74,700","6,56,14,600","6,10,71,000","5,58,86,800"
Gross profit,"4,64,18,700","4,64,18,700","4,46,83,600","3,77,73,800","3,42,71,700"
Selling general and administrative,"1,08,27,900","1,08,27,900","1,06,02,700","90,43,200","83,61,800"
Total operating expenses,"2,98,42,100","2,98,42,100","2,89,75,300","2,41,85,100","2,26,57,100"
Operating income or loss,"1,65,76,600","1,65,76,600","1,57,08,300","1,35,88,700","1,16,14,600"
Interest expense,"7,69,000","7,69,000","90,900","75,900","54,500"
Income before tax,"1,86,13,100","1,86,13,100","1,76,79,300","1,51,81,800","1,30,40,000"
Income tax expense,"44,46,800","44,46,800","61,24,700","51,42,200","41,96,700"
Income from continuing operations,"1,41,66,300","1,41,66,300","1,15,54,600","1,00,39,600","88,46,100"
Net income,"1,40,26,300","1,40,26,300","1,15,91,200","1,00,42,300","88,46,100"
Net income available to common shareholders,"1,40,26,300","1,40,26,300","1,15,91,200","1,00,42,300","88,46,100"
Basic EPS,-,-,48.25,41.83,36.86
Diluted EPS,-,-,48.21,41.80,36.85
Basic average shares,-,-,"2,40,247","2,40,093","2,39,982"
Diluted average shares,-,-,"2,40,428","2,40,214","2,40,023"
EBITDA,-,"2,12,37,300","1,93,96,100","1,66,85,500","1,42,87,200"
