,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,166.98,169.00,165.10,165.74,119.25,"31,000"
08-Apr-2010,162.00,173.60,162.00,164.92,118.66,"2,01,200"
07-Apr-2010,162.90,166.80,161.90,165.32,118.94,"71,600"
06-Apr-2010,159.10,162.30,158.50,161.92,116.50,"1,17,620"
05-Apr-2010,160.90,161.80,159.51,160.13,115.21,"20,550"
01-Apr-2010,160.50,161.78,158.60,160.00,115.12,"1,69,390"
31-Mar-2010,158.80,160.50,157.76,159.90,115.05,"2,91,500"
30-Mar-2010,157.00,160.00,157.00,157.39,113.24,"22,000"
29-Mar-2010,158.10,159.35,156.50,156.85,112.85,"2,14,220"
26-Mar-2010,159.10,159.99,158.00,158.27,113.87,"10,030"
25-Mar-2010,157.01,160.40,157.01,159.55,114.80,"48,310"
23-Mar-2010,157.52,159.00,156.13,157.30,113.18,"21,960"
22-Mar-2010,157.01,158.60,156.10,158.02,113.70,"22,870"
19-Mar-2010,159.95,159.95,156.00,158.18,113.81,"25,160"
18-Mar-2010,159.02,160.70,158.50,158.62,114.13,"21,730"
17-Mar-2010,160.00,161.00,159.12,159.53,114.78,"17,930"
16-Mar-2010,158.11,160.50,158.10,160.07,115.17,"34,540"
15-Mar-2010,158.88,159.40,157.52,158.93,114.35,"38,060"
12-Mar-2010,160.00,160.00,155.71,157.65,113.43,"45,280"
11-Mar-2010,160.80,161.49,156.51,157.68,113.45,"49,360"
10-Mar-2010,162.00,163.00,159.10,159.63,114.85,"57,860"
09-Mar-2010,166.00,166.50,157.50,160.99,115.83,"88,590"
08-Mar-2010,169.77,169.90,161.01,164.01,118.00,"1,91,150"
05-Mar-2010,175.50,177.40,174.60,176.74,127.16,"1,43,710"
04-Mar-2010,174.97,175.10,172.21,174.60,125.62,"55,360"
03-Mar-2010,167.80,176.00,167.80,174.27,125.39,"54,550"
02-Mar-2010,170.00,170.00,166.73,169.09,121.66,"1,23,080"
26-Feb-2010,166.01,167.70,164.90,167.35,120.40,"64,360"
25-Feb-2010,165.00,167.00,160.53,164.60,118.42,"31,950"
24-Feb-2010,162.01,164.79,160.20,164.00,118.00,"1,25,160"
23-Feb-2010,162.01,163.78,162.00,162.90,117.21,"18,380"
22-Feb-2010,164.49,164.49,162.10,163.01,117.28,"5,810"
19-Feb-2010,164.50,165.00,162.50,163.21,117.43,"25,950"
18-Feb-2010,165.00,178.50,162.11,163.60,117.71,"12,690"
17-Feb-2010,162.71,164.50,162.70,163.14,117.38,"18,400"
16-Feb-2010,163.50,164.27,162.60,163.00,117.28,"16,400"
15-Feb-2010,162.15,166.70,162.14,164.99,118.71,"24,750"
11-Feb-2010,161.50,165.48,161.50,163.03,117.30,"52,810"
10-Feb-2010,160.72,163.34,160.10,162.63,117.01,"22,230"
09-Feb-2010,163.50,163.50,160.00,160.90,115.76,"10,100"
08-Feb-2010,161.80,163.30,159.50,160.74,115.65,"37,340"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,159.11,161.40,154.50,159.75,114.94,"23,760"
04-Feb-2010,160.00,161.40,159.10,159.59,114.82,"6,310"
03-Feb-2010,159.00,161.44,156.50,159.91,115.06,"21,660"
02-Feb-2010,160.01,160.98,159.10,159.99,115.11,"12,330"
01-Feb-2010,156.60,160.50,155.60,159.58,114.82,"10,330"
29-Jan-2010,158.90,158.90,154.51,156.65,112.71,"33,120"
28-Jan-2010,160.00,161.50,157.50,159.55,114.80,"1,01,900"
27-Jan-2010,164.00,165.48,155.00,157.35,113.22,"29,810"
25-Jan-2010,165.95,165.95,162.50,163.26,117.47,"13,250"
22-Jan-2010,161.60,165.00,160.80,164.17,118.12,"18,500"
21-Jan-2010,166.00,166.99,164.24,164.76,118.54,"22,210"
20-Jan-2010,169.98,170.90,165.88,166.22,119.59,"11,010"
19-Jan-2010,169.40,170.38,168.03,169.01,121.60,"28,070"
18-Jan-2010,169.90,171.40,167.50,168.32,121.11,"31,790"
15-Jan-2010,167.23,169.60,167.20,169.37,121.86,"22,940"
14-Jan-2010,167.40,169.20,166.04,168.02,120.89,"36,870"
13-Jan-2010,167.80,167.80,165.26,166.04,119.46,"10,840"
12-Jan-2010,167.50,169.50,164.52,166.64,119.90,"5,34,950"
11-Jan-2010,167.30,167.30,165.00,165.23,118.88,"11,15,070"
08-Jan-2010,164.10,166.99,164.10,165.27,118.91,"1,45,140"
07-Jan-2010,165.59,166.50,164.00,164.90,118.65,"8,21,990"
06-Jan-2010,168.50,168.50,164.50,165.59,119.14,"21,500"
05-Jan-2010,167.00,169.42,166.00,167.10,120.23,"22,810"
04-Jan-2010,166.90,169.50,166.10,166.85,120.05,"18,690"
19-Jul-2010,194.00,194.80,193.04,193.43,139.18,"8,290"
16-Jul-2010,194.00,196.80,192.51,194.58,140.00,"19,270"
15-Jul-2010,197.00,197.50,193.20,194.24,139.76,"11,540"
14-Jul-2010,194.40,199.00,193.60,194.99,140.30,"33,020"
13-Jul-2010,191.10,194.90,191.10,193.32,139.10,"21,390"
12-Jul-2010,195.16,195.16,190.71,191.96,138.11,"21,780"
09-Jul-2010,189.11,194.00,189.11,190.02,136.72,"46,870"
08-Jul-2010,196.00,196.00,189.60,190.26,136.89,"70,030"
07-Jul-2010,186.40,195.90,186.00,192.26,138.33,"68,620"
06-Jul-2010,199.40,199.40,185.10,186.57,134.23,"13,240"
05-Jul-2010,186.51,187.28,185.75,186.03,133.85,"3,490"
02-Jul-2010,186.10,188.00,185.30,186.05,133.86,"6,560"
01-Jul-2010,188.40,188.50,183.21,186.49,134.17,"2,26,200"
30-Jun-2010,184.00,186.88,184.00,185.68,133.59,"16,080"
29-Jun-2010,185.51,190.00,184.01,185.82,133.70,"33,420"
28-Jun-2010,185.51,186.90,184.54,185.04,133.14,"23,390"
25-Jun-2010,185.01,188.87,185.01,185.95,133.79,"18,360"
