,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"17,12,66,000","16,32,92,300","15,12,48,100","14,36,61,600"
Cost of revenue,"6,23,59,700","6,23,21,700","5,91,12,800","5,76,33,700"
Gross profit,"10,89,06,300","10,09,70,600","9,21,35,300","8,60,27,900"
Research development,-,"35,68,600","26,86,500","28,02,700"
Selling general and administrative,-,"1,85,98,800","1,60,89,100","1,43,96,800"
Total operating expenses,"8,45,89,000","8,08,87,200","7,33,31,000","6,94,45,500"
Operating income or loss,"2,43,17,300","2,00,83,400","1,88,04,300","1,65,82,400"
Interest expense,"18,44,800","16,37,700","10,92,400","8,76,800"
Income before tax,"2,35,16,300","2,07,91,400","1,66,94,600","1,22,21,700"
Income tax expense,"67,33,600","56,95,300","25,01,100","17,97,600"
Income from continuing operations,"1,61,87,100","1,49,24,400","1,41,65,700","1,03,54,200"
Net income,"1,66,77,700","1,52,77,000","1,41,05,300","1,00,63,900"
Net income available to common shareholders,"1,66,77,700","1,52,77,000","1,41,05,300","1,00,63,900"
Basic EPS,-,18.97,17.53,12.52
Diluted EPS,-,18.93,17.50,12.50
Basic average shares,-,"8,05,361","8,04,765","8,03,979"
Diluted average shares,-,"8,06,830","8,06,082","8,05,318"
EBITDA,-,"3,56,92,200","3,10,15,200","2,63,27,800"
