Insider,Insider Type,Type,Date,Shares
Jain (Renu),UNREPORTED,Direct,03-Jun-2020,"2,200"
Chopra (Nikhil Ashokkumar),UNREPORTED,Direct,07-Dec-2017,"4,250"
Dorlikar (Manoj),UNREPORTED,Direct,01-Jun-2020,"3,000"
Gopalakrishnan (R),UNREPORTED,Direct,15-Nov-2018,"14,064"
Karta (Anil Kumar),UNREPORTED,Direct,29-May-2020,"2,000"
Thange (Vijay Laxman),UNREPORTED,Direct,27-Jun-2018,"3,732"
Ladage (Kirit D),UNREPORTED,Direct,06-Dec-2018,"4,036"
Jagdale (Kuber M),UNREPORTED,Direct,06-Dec-2018,"5,107"
Malhotra (Geena V),UNREPORTED,Direct,16-Mar-2018,"18,005"
Jeffery (Patsy),UNREPORTED,Direct,04-Jan-2018,"4,181"
Jain (Dinesh Ramniranjan),UNREPORTED,Direct,15-Nov-2018,"7,976"
Radhakrishnan (S.),UNREPORTED,Direct,16-Feb-2018,"49,000"
Vohra (Umang),Managing Director,Direct,15-Nov-2018,"54,850"
Srivastava (Abhay Kumar),UNREPORTED,Direct,13-Nov-2019,"6,155"
Upasane (Ashwin P),UNREPORTED,Direct,16-Oct-2019,"3,779"
Bhanushali (Sanjay S),UNREPORTED,Direct,06-Dec-2018,"16,671"
Luharuka (Ajay),UNREPORTED,Direct,16-Feb-2018,"3,361"
Purandare (Shrinivas),UNREPORTED,Direct,16-Sep-2019,"25,201"
Rao (Nrutya L),UNREPORTED,Direct,16-Sep-2019,"2,761"
Hiranandani (Sneha),UNREPORTED,Direct,16-Feb-2018,"13,368"
Upadhye (Kedar),Chief Financial Officer,Direct,06-Dec-2018,"20,280"
Srinivas (P L),UNREPORTED,Direct,06-Dec-2018,"3,084"
Pathak (Ranjana),UNREPORTED,Direct,06-Sep-2018,"11,000"
Reddy (Sumesh),UNREPORTED,Direct,13-Jun-2018,"12,254"
Balasubramanian (Nithya),UNREPORTED,Direct,17-May-2019,"10,003"
Chawla (Chandru),UNREPORTED,Direct,17-Jul-2018,"19,097"
Kartha (Anil Kumar),UNREPORTED,Direct,04-Jan-2018,"3,325"
Jain (Sharad),UNREPORTED,Direct,04-Jan-2018,"3,746"
MN Rajkumar L.L.P.,Promoter,Direct,22-Mar-2019,"2,775,000"
Hamied (Yusuf K),Promoter,Direct,22-Mar-2019,"2,775,000"
Dixit (Ajay),UNREPORTED,Direct,17-Jul-2018,"1,933"
Rangwala (Aliakbar),UNREPORTED,Direct,19-Feb-2019,"4,376"
Jha (Prabir),UNREPORTED,Direct,29-Dec-2017,"6,000"
Kejriwal (Akshay),UNREPORTED,Direct,03-Oct-2018,441
Gupta (Sunil),UNREPORTED,Direct,06-Dec-2018,"1,534"
Khalif (Ijaj),UNREPORTED,Direct,06-Dec-2018,"2,182"
Kochar (Jasbir Singh),UNREPORTED,Direct,06-Dec-2018,"3,668"
Phull (Manjinder Singh),UNREPORTED,Direct,06-Dec-2018,"2,217"
Ramanath (M S),UNREPORTED,Direct,16-Feb-2018,"2,200"
Rao (Dharmaraj R),UNREPORTED,Direct,04-Jan-2018,"6,167"
Rathore (Dilip Singh),UNREPORTED,Direct,06-Dec-2018,"2,632"
Sanghvi (Mital),UNREPORTED,Direct,16-Feb-2018,"3,534"
Chandel (Mahendar),UNREPORTED,Direct,06-Dec-2018,"2,027"
Gangrade (Manish),UNREPORTED,Direct,02-Jul-2018,"3,690"
Garg (Akshay Kumar),UNREPORTED,Direct,06-Dec-2018,"3,756"
Gorana (Sanjay),UNREPORTED,Direct,13-Jun-2018,"18,210"
Desai (Satyasheel M),UNREPORTED,Direct,15-Nov-2018,"3,375"
Sarkar (Debashis),UNREPORTED,Direct,20-Jun-2018,"5,000"
Singh (Tarun),UNREPORTED,Direct,18-Dec-2017,"1,861"
Desai (Anita),Promoter,Direct,04-Sep-2018,"7,391"
Raut (Preethi),UNREPORTED,Direct,04-Jan-2018,"7,271"
Chauhan (Jinesh),UNREPORTED,Direct,17-Jul-2018,"2,202"
Subramanyam (Raju),UNREPORTED,Direct,24-May-2018,"15,809"
Khedekar (Gayatri K),UNREPORTED,Direct,24-May-2018,"3,080"
Ahuja (Kapil),UNREPORTED,Direct,04-Jan-2018,"4,428"
Hamsons Laboratories Pvt Ltd,Promoter,Direct,05-Jun-2018,"492,602"
Shree Riddhi Chemicals Pvt Ltd,Promoter,Direct,05-Jun-2018,"2,434,970"
Verma (Harish),UNREPORTED,Direct,27-Apr-2018,"2,000"
Kalavadia (Kiran),UNREPORTED,Direct,04-Apr-2018,"3,000"
Jajodia (Nitin),UNREPORTED,Direct,16-Feb-2018,"2,931"
Deshpande (Prashant),UNREPORTED,Direct,16-Feb-2018,"2,108"
Moolchandani (Sanjay Mohan),UNREPORTED,Direct,16-Feb-2018,"3,295"
Nayak (Anantha),UNREPORTED,Direct,16-Feb-2018,"15,520"
Dourado (Savio),UNREPORTED,Direct,04-Jan-2018,832
Garg (Aditi),UNREPORTED,Direct,04-Jan-2018,"1,670"
Ghule (Sudhir),UNREPORTED,Direct,04-Jan-2018,"1,849"
Deshmukh (Suresh C),UNREPORTED,Direct,19-Dec-2017,"2,182"
Chhowala (Susmeeta B),UNREPORTED,Direct,04-Dec-2017,"1,018"
