,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,5,5,24,24
Avg. Estimate,263.79B,249.81B,968.5B,1.03T
Low estimate,245.38B,156.02B,891.22B,969.79B
High estimate,312.04B,281B,1.04T,1.12T
Year ago EPS,4.84,2.09,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,216.43B,251.09B,817B,968.5B
Sales growth (year/est),21.90%,-0.50%,18.50%,6.40%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,4.97,6.48,6.09,4.54
Actual EPS,4.84,2.09,6.1,4.97
Difference,-0.13,-4.39,0.01,0.43
Surprise %,-2.60%,-67.70%,0.20%,9.50%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,7.61,7.72,26.49,27.58
30 days ago,7.61,7.72,26.49,27.58
60 days ago,7.61,7.72,26.49,27.58
90 days ago,7.61,7.72,26.49,27.58
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,N/A,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,COALINDIA.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),30.45%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
