,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"2,27,57,100","4,19,26,700","3,57,99,300"
Other short-term investments,"29,67,63,000","27,46,53,700","28,08,42,400"
Total cash,"31,95,20,100","31,65,80,400","31,66,41,700"
Net receivables,"5,49,85,500","8,68,91,600","10,73,58,500"
Inventory,"5,58,39,300","6,44,38,500","8,94,52,700"
Other current assets,-,-,"6,54,05,000"
Total current assets,"69,31,96,600","68,81,42,800","68,26,30,600"
"Gross property, plant and equipment","53,91,27,700","46,42,05,200","38,01,13,600"
Accumulated depreciation,"-11,68,75,100","-8,55,96,700","-5,64,44,400"
"Net property, plant and equipment","42,22,52,600","37,86,08,500","32,36,69,200"
Intangible assets,"4,73,300","29,800","3,08,700"
Other long-term assets,-,"-1,000",-
Total non-current assets,"63,39,91,700","58,67,74,500","47,81,58,100"
Total assets,"1,32,71,88,300","1,27,49,17,300","1,16,07,88,700"
Current debt,"73,76,700","48,33,200","2,71,97,000"
Accounts payable,"6,81,55,100","4,51,69,300","3,90,02,400"
Other current liabilities,"10,04,76,300","10,07,08,500","10,44,58,900"
Total current liabilities,"45,81,21,800","50,79,50,800","42,23,19,800"
Long-term debt,"1,47,22,700","1,05,44,000","29,48,000"
Deferred revenues,"77,32,900","67,75,800","82,200"
Other long-term liabilities,"4,09,81,800","3,70,09,800","3,81,97,100"
Total non-current liabilities,"60,04,59,500","56,48,76,300","48,97,41,900"
Total liabilities,"1,05,85,81,300","1,07,28,27,100","91,20,61,700"
Common stock,"6,16,27,300","6,20,74,100","6,20,74,100"
Retained earnings,"1,27,77,200","-9,60,15,700","-3,61,80,300"
Total stockholders' equity,"26,45,39,200","19,84,65,700","24,52,67,800"
Total liabilities and stockholders' equity,"1,32,71,88,300","1,27,49,17,300","1,16,07,88,700"
