,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"18,10,04,000","17,46,18,500","7,02,03,400","9,26,62,300"
Depreciation & amortisation,-,"3,45,03,600","3,04,68,300","2,91,00,700"
Change in working capital,-,"-4,89,17,700","13,84,50,300","6,02,16,200"
Inventory,-,"85,99,200","2,48,12,200","-1,37,61,000"
Other working capital,-,"9,35,61,400","12,73,30,400","7,17,07,300"
Other non-cash items,-,"3,83,39,400","2,79,74,400","2,38,16,800"
Net cash provided by operating activities,-,"16,69,54,600","21,26,23,400","15,84,68,600"
"Investments in property, plant and equipment",-,"-7,33,93,200","-8,52,93,000","-8,67,61,300"
"Acquisitions, net",-,"-11,84,000","-33,32,200","-50,300"
Purchases of investments,-,-,"-1,52,60,400",-
Sales/maturities of investments,-,-,"30,79,000","5,67,16,500"
Net cash used for investing activities,-,"-8,26,58,400","-7,67,62,800","45,46,400"
Net change in cash,-,"-1,72,19,600","-12,400","-1,29,64,700"
Cash at beginning of period,-,"3,99,76,700","4,19,39,100","4,87,64,000"
Cash at end of period,-,"2,27,57,100","4,19,26,700","3,57,99,300"
Operating cash flow,-,"16,69,54,600","21,26,23,400","15,84,68,600"
Capital expenditure,-,"-7,33,93,200","-8,52,93,000","-8,67,61,300"
Free cash flow,-,"9,35,61,400","12,73,30,400","7,17,07,300"
