,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"97,12,33,500","99,53,92,500","85,86,24,400","77,97,30,000"
Cost of revenue,"12,78,45,100","14,08,11,100","14,62,52,200","12,53,34,700"
Gross profit,"84,33,88,400","85,45,81,400","71,23,72,200","65,43,95,300"
Research development,-,"10,44,400","33,300","27,400"
Selling general and administrative,-,"21,86,200","20,17,400","19,47,100"
Total operating expenses,"63,64,13,000","63,20,82,000","64,72,54,000","56,05,30,500"
Operating income or loss,"20,69,75,400","22,24,99,400","6,51,18,200","9,38,64,800"
Interest expense,"43,97,300","27,50,400","43,17,900","41,17,300"
Income before tax,"25,51,48,600","27,12,54,600","10,72,64,400","14,43,37,100"
Income tax expense,"7,41,52,200","9,66,24,500","3,70,66,600","5,16,59,600"
Income from continuing operations,"18,09,88,100","17,46,21,800","7,02,02,200","9,26,59,900"
Net income,"18,10,04,000","17,46,18,500","7,02,03,400","9,26,62,300"
Net income available to common shareholders,"18,10,04,000","17,46,18,500","7,02,03,400","9,26,62,300"
Basic EPS,-,28.14,11.31,14.78
Diluted EPS,-,28.14,11.31,14.78
Basic average shares,-,"62,06,307","62,07,409","62,70,096"
Diluted average shares,-,"62,06,307","62,07,409","62,70,096"
EBITDA,-,"30,85,08,600","14,20,50,600","17,75,55,100"
