,Open,High,Low,Close*,Adj. close**,Volume
04-Feb-2011,317.35,318.10,307.00,308.15,170.57,"16,88,679"
03-Feb-2011,311.00,320.00,310.90,317.35,175.66,"42,11,492"
02-Feb-2011,310.10,314.90,308.55,312.50,172.98,"33,74,631"
01-Feb-2011,305.50,309.85,303.50,308.30,170.65,"48,63,055"
31-Jan-2011,302.00,307.50,300.55,304.35,168.47,"36,73,855"
28-Jan-2011,307.05,309.70,303.05,305.05,168.85,"42,36,476"
27-Jan-2011,311.00,312.90,307.20,308.30,170.65,"24,55,783"
25-Jan-2011,311.00,315.70,308.55,310.00,171.59,"24,52,476"
24-Jan-2011,314.90,314.90,309.00,310.45,171.84,"10,97,986"
21-Jan-2011,316.45,316.45,312.00,314.15,173.89,"24,13,133"
20-Jan-2011,308.80,319.20,308.10,315.70,174.75,"61,21,175"
19-Jan-2011,311.00,312.70,307.95,309.40,171.26,"14,26,048"
18-Jan-2011,313.50,313.95,308.00,311.15,172.23,"8,44,507"
17-Jan-2011,307.25,314.00,306.20,313.15,173.34,"17,07,118"
14-Jan-2011,310.45,315.50,307.95,310.50,171.87,"22,44,505"
13-Jan-2011,309.40,313.95,307.50,310.45,171.84,"20,70,696"
12-Jan-2011,309.90,312.90,306.25,308.50,170.76,"11,81,115"
11-Jan-2011,306.00,312.95,306.00,309.05,171.07,"27,81,948"
10-Jan-2011,309.90,310.00,302.10,305.15,168.91,"54,13,595"
07-Jan-2011,310.00,313.50,302.15,309.10,171.09,"22,98,583"
06-Jan-2011,311.00,313.00,308.50,309.10,171.09,"27,63,146"
05-Jan-2011,320.00,320.00,308.25,309.80,171.48,"85,55,905"
04-Jan-2011,318.90,320.00,316.05,319.20,176.69,"27,16,995"
03-Jan-2011,315.50,318.00,314.55,317.30,175.63,"29,29,118"
31-Dec-2010,309.50,316.45,308.30,314.75,174.22,"49,60,987"
30-Dec-2010,311.00,311.60,307.00,308.05,170.51,"26,43,251"
29-Dec-2010,306.10,311.40,304.30,310.25,171.73,"57,72,875"
28-Dec-2010,308.00,309.95,301.00,303.75,168.13,"80,55,446"
27-Dec-2010,312.15,314.30,306.50,307.30,170.10,"52,73,320"
24-Dec-2010,313.00,313.90,310.10,312.15,172.78,"18,59,093"
23-Dec-2010,315.05,315.95,312.00,312.95,173.23,"33,26,534"
22-Dec-2010,315.10,319.70,312.70,314.05,173.83,"54,25,074"
21-Dec-2010,318.80,318.80,311.20,313.30,173.42,"44,27,901"
20-Dec-2010,323.00,323.00,315.05,316.00,174.91,"29,05,355"
16-Dec-2010,326.75,327.00,317.40,320.70,177.52,"28,93,052"
15-Dec-2010,325.60,330.00,323.00,327.85,181.47,"53,80,352"
14-Dec-2010,324.45,331.00,322.75,325.30,180.06,"70,75,931"
13-Dec-2010,318.00,324.35,317.00,323.15,178.87,"28,09,522"
10-Dec-2010,312.00,322.00,312.00,317.30,175.63,"57,99,900"
09-Dec-2010,318.00,320.00,309.00,313.20,173.36,"53,13,081"
08-Dec-2010,318.60,322.70,317.25,318.85,176.49,"28,77,153"
07-Dec-2010,320.50,322.75,317.25,320.00,177.13,"34,84,977"
06-Dec-2010,321.00,324.90,318.50,320.40,177.35,"28,95,539"
03-Dec-2010,318.10,325.70,318.10,321.95,178.21,"24,53,815"
02-Dec-2010,322.20,325.95,321.15,324.85,179.81,"61,43,344"
