,value1,value2,value3,value4
Earnings estimate,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
No. of analysts,4,2,41,41
Avg. Estimate,37.24B,36.46B,144.35B,164.47B
Low estimate,36.06B,36.44B,137.15B,154.71B
High estimate,39.83B,36.48B,152.21B,190.57B
Year ago EPS,20.34,4.01,77.37,68.38
Revenue estimate,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
Year ago sales,34.98B,32.49B,138.66B,144.35B
Sales growth (year/est),6.50%,12.20%,4.10%,13.90%
Earnings history,31/3/2017,30/6/2017,30/9/2017,31/12/2017
Est. EPS,26.31,20.65,17.05,19.37
Actual EPS,20.34,4.01,18.39,18.22
Difference,-5.97,-16.64,1.34,-1.15
Surprise %,-22.70%,-80.60%,7.90%,-5.90%
EPS trend,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
Current estimate,22.79,21.63,68.38,113.45
7 days ago,22.79,21.63,68.51,113.76
30 days ago,25.56,23.8,73.08,119.75
60 days ago,28.61,25.21,76.4,123.08
90 days ago,28.61,25.21,76.84,123.79
EPS revisions,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
Up last 7 days,1,N/A,N/A,N/A
Up last 30 days,1,N/A,1,2
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,1,2
Growth estimates,DRREDDY.NS,Industry,Sector,S&P 500
Current qtr.,12.00%,N/A,N/A,N/A
Next qtr.,439.40%,N/A,N/A,N/A
Current year,-11.60%,N/A,N/A,N/A
Next year,65.90%,N/A,N/A,N/A
Next 5 years (per annum),20.33%,N/A,N/A,N/A
Past 5 years (per annum),-17.53%,N/A,N/A,N/A
