,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"20,53,000","22,28,000","26,38,000","38,66,000"
Other short-term investments,"2,36,87,000","2,25,29,000","1,83,30,000","1,42,70,000"
Total cash,"2,57,40,000","2,47,57,000","2,09,68,000","1,81,36,000"
Net receivables,"5,02,78,000","3,98,69,000","4,06,17,000","3,80,65,000"
Inventory,"3,50,66,000","3,35,79,000","2,90,89,000","2,85,29,000"
Other current assets,"57,55,000","48,24,000","39,57,000","35,86,000"
Total current assets,"13,03,70,000","11,45,01,000","10,96,45,000","10,03,75,000"
"Gross property, plant and equipment","11,56,43,000","10,96,48,000","10,81,14,000","10,01,40,000"
Accumulated depreciation,"-6,33,11,000","-5,55,60,000","-5,02,45,000","-4,29,80,000"
"Net property, plant and equipment","5,23,32,000","5,40,88,000","5,78,69,000","5,71,60,000"
Equity and other investments,"30,91,000","33,42,000","46,53,000","68,40,000"
Goodwill,"39,94,000","39,02,000","39,45,000","37,52,000"
Intangible assets,"2,76,59,000","4,43,67,000","4,46,65,000","4,49,25,000"
Other long-term assets,"2,31,000","3,84,000","3,66,000","3,32,000"
Total non-current assets,"10,18,71,000","11,09,26,000","11,59,59,000","11,94,46,000"
Total assets,"23,22,41,000","22,54,27,000","22,56,04,000","21,98,21,000"
Current debt,"2,03,15,000","1,63,24,000","2,56,25,000","4,37,36,000"
Accounts payable,"1,07,45,000","1,02,96,000","1,60,52,000","1,34,17,000"
Accrued liabilities,"1,80,25,000","1,51,78,000","1,48,61,000","1,39,63,000"
Deferred revenues,"19,56,000","20,02,000","26,97,000","31,66,000"
Other current liabilities,"51,25,000","26,26,000","20,68,000","20,99,000"
Total current liabilities,"7,28,14,000","5,97,00,000","6,96,92,000","8,50,00,000"
Long-term debt,-,"2,14,48,000","2,44,59,000","48,52,000"
Deferred tax liabilities,"2,75,000","6,10,000","7,30,000","12,04,000"
Other long-term liabilities,"8,50,000","8,66,000","8,83,000","9,11,000"
Total non-current liabilities,"44,39,000","2,55,30,000","2,94,52,000","1,07,77,000"
Total liabilities,"7,72,53,000","8,52,30,000","9,91,44,000","9,57,77,000"
Common stock,"8,31,000","8,30,000","8,30,000","8,29,000"
Retained earnings,"14,42,47,000","12,86,46,000","11,38,65,000","10,82,24,000"
Total stockholders' equity,"15,49,88,000","14,01,97,000","12,64,60,000","12,40,44,000"
Total liabilities and stockholders' equity,"23,22,41,000","22,54,27,000","22,56,04,000","21,98,21,000"
