,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Net income,"1,94,98,000","1,94,98,000","1,87,95,000","98,06,000","1,20,39,000"
Depreciation & amortisation,"1,24,72,000","1,24,72,000","1,21,90,000","1,17,10,000","1,12,77,000"
Deferred income taxes,"-14,66,000","-14,66,000","36,48,000","45,35,000","26,14,000"
Stock-based compensation,"5,21,000","5,21,000","3,89,000","4,54,000","3,98,000"
Change in working capital,"-75,36,000","-75,36,000","-57,71,000","-89,64,000","-53,50,000"
Inventory,"-14,87,000","-14,87,000","-84,96,000","-32,33,000","-63,25,000"
Other working capital,"2,37,26,000","2,37,26,000","2,12,13,000","69,86,000","-1,94,71,000"
Other non-cash items,"95,000","95,000","1,19,000","2,48,000","76,000"
Net cash provided by operating activities,"2,98,41,000","2,98,41,000","2,87,04,000","1,80,29,000","2,15,13,000"
"Investments in property, plant and equipment","-61,15,000","-61,15,000","-74,91,000","-1,10,43,000","-4,09,84,000"
"Acquisitions, net",-,-,0,0,"-1,03,000"
Purchases of investments,"-11,19,18,000","-11,19,18,000","-7,85,73,000","-6,84,29,000","-4,96,51,000"
Sales/maturities of investments,"11,17,04,000","11,17,04,000","7,62,91,000","6,40,38,000","7,15,95,000"
Net cash used for investing activities,"-49,23,000","-49,23,000","-77,27,000","-1,48,83,000","-1,84,71,000"
Debt repayment,"-2,34,00,000","-2,34,00,000",-,-,"-52,20,000"
Common stock issued,"4,000","4,000",0,"1,000","1,000"
Common stock repurchased,"-4,74,000","-4,74,000","-5,35,000",0,"-1,56,94,000"
Dividends paid,"-39,16,000","-39,16,000","-40,02,000","-39,92,000","-33,90,000"
Net cash used provided by (used for) financing activities,"-2,51,59,000","-2,51,59,000","-2,13,26,000","-44,40,000","-36,92,000"
Net change in cash,"-2,41,000","-2,41,000","-3,49,000","-12,94,000","-6,50,000"
Cash at beginning of period,"22,28,000","22,28,000","25,42,000","37,79,000","49,21,000"
Cash at end of period,"19,62,000","19,62,000","22,28,000","25,42,000","37,79,000"
Operating cash flow,"2,98,41,000","2,98,41,000","2,87,04,000","1,80,29,000","2,15,13,000"
Capital expenditure,"-61,15,000","-61,15,000","-74,91,000","-1,10,43,000","-4,09,84,000"
Free cash flow,"2,37,26,000","2,37,26,000","2,12,13,000","69,86,000","-1,94,71,000"
