,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,"1,290.00","1,290.00","1,238.00","1,242.55","1,139.08","4,42,091"
08-Apr-2010,"1,278.00","1,288.70","1,270.00","1,275.95","1,169.70","98,525"
07-Apr-2010,"1,278.00","1,298.40","1,278.00","1,281.20","1,174.51","2,61,603"
06-Apr-2010,"1,286.00","1,288.00","1,262.00","1,274.70","1,168.55","2,92,834"
05-Apr-2010,"1,278.70","1,280.00","1,255.05","1,272.95","1,166.95","1,48,151"
01-Apr-2010,"1,283.00","1,292.50","1,260.00","1,263.90","1,158.65","2,61,263"
31-Mar-2010,"1,264.80","1,282.00","1,245.00","1,274.95","1,168.78","3,91,487"
30-Mar-2010,"1,260.00","1,278.90","1,257.50","1,262.95","1,157.78","2,78,225"
29-Mar-2010,"1,286.60","1,296.65","1,266.50","1,268.50","1,162.87","1,93,555"
26-Mar-2010,"1,309.00","1,315.40","1,282.00","1,284.55","1,177.58","2,40,951"
25-Mar-2010,"1,304.00","1,318.20","1,295.00","1,315.40","1,205.86","3,60,662"
23-Mar-2010,"1,274.00","1,307.00","1,274.00","1,303.55","1,195.00","4,43,193"
22-Mar-2010,"1,230.00","1,274.75","1,208.00","1,268.45","1,162.82","4,79,160"
19-Mar-2010,"1,250.00","1,266.50","1,243.00","1,253.90","1,149.48","6,16,233"
18-Mar-2010,"1,233.00","1,248.00","1,220.20","1,234.00","1,131.24","2,63,420"
17-Mar-2010,"1,228.00","1,234.00","1,215.10","1,229.20","1,126.84","2,57,934"
16-Mar-2010,"1,210.00","1,226.00","1,207.00","1,222.25","1,120.47","1,42,260"
15-Mar-2010,"1,177.20","1,223.00","1,175.00","1,200.70","1,100.71","5,47,062"
12-Mar-2010,"1,174.00","1,181.00","1,171.00","1,173.75","1,076.01","1,84,737"
11-Mar-2010,"1,164.95","1,176.75","1,162.15","1,167.95","1,070.69","1,02,850"
10-Mar-2010,"1,168.45","1,184.40","1,163.00","1,165.25","1,068.22","1,72,228"
09-Mar-2010,"1,160.05","1,180.00","1,142.00","1,167.90","1,070.65","65,371"
08-Mar-2010,"1,156.00","1,185.00","1,155.00","1,169.20","1,071.84","2,05,296"
05-Mar-2010,"1,162.00","1,168.45","1,150.00","1,152.10","1,056.16","1,45,798"
04-Mar-2010,"1,168.75","1,181.90","1,153.00","1,156.85","1,060.52","1,98,653"
03-Mar-2010,"1,121.65","1,176.70","1,121.65","1,168.75","1,071.42","4,01,399"
02-Mar-2010,"1,151.00","1,169.00","1,130.30","1,135.50","1,040.94","4,50,721"
26-Feb-2010,"1,141.00","1,165.00","1,126.10","1,142.30","1,047.18","1,61,870"
25-Feb-2010,"1,162.30","1,162.30","1,132.35","1,143.80","1,048.55","2,72,099"
24-Feb-2010,"1,142.00","1,147.70","1,125.00","1,140.80","1,045.80","1,39,908"
23-Feb-2010,"1,110.00","1,150.00","1,107.75","1,143.45","1,048.23","7,37,079"
22-Feb-2010,"1,131.00","1,145.00","1,105.00","1,116.10","1,023.16","1,43,510"
19-Feb-2010,"1,129.90","1,129.90","1,109.20","1,121.05","1,027.70","4,72,491"
18-Feb-2010,"1,123.00","1,127.90","1,107.15","1,116.25","1,023.30","2,54,789"
17-Feb-2010,"1,125.00","1,125.00","1,104.35","1,106.05","1,013.95","4,89,869"
16-Feb-2010,"1,113.80","1,119.90","1,099.10","1,113.15","1,020.45","2,76,774"
15-Feb-2010,"1,090.00","1,114.50","1,090.00","1,105.55","1,013.49","1,64,504"
11-Feb-2010,"1,090.00","1,099.00","1,084.00","1,090.60",999.78,"1,75,002"
10-Feb-2010,"1,105.00","1,115.00","1,080.00","1,083.40",993.18,"4,89,499"
09-Feb-2010,"1,119.40","1,119.40","1,099.10","1,102.55","1,010.74","4,71,664"
08-Feb-2010,"1,139.85","1,140.00","1,106.05","1,115.60","1,022.70","2,36,907"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,"1,130.00","1,158.00","1,115.00","1,150.50","1,054.69","5,91,945"
04-Feb-2010,"1,155.00","1,171.80","1,132.10","1,161.90","1,065.15","4,19,819"
03-Feb-2010,"1,170.00","1,179.30","1,146.25","1,152.25","1,056.30","2,99,794"
02-Feb-2010,"1,127.00","1,192.00","1,127.00","1,165.60","1,068.54","9,26,468"
01-Feb-2010,"1,139.00","1,139.00","1,107.30","1,123.50","1,029.94","1,74,831"
29-Jan-2010,"1,127.00","1,134.00","1,089.25","1,119.60","1,026.37","6,88,149"
28-Jan-2010,"1,127.00","1,172.00","1,115.00","1,152.90","1,056.89","11,29,127"
27-Jan-2010,"1,107.00","1,127.90","1,091.00","1,106.50","1,014.36","7,83,457"
25-Jan-2010,"1,115.85","1,134.80","1,065.65","1,121.90","1,028.48","5,29,022"
22-Jan-2010,"1,115.00","1,134.35","1,083.15","1,127.40","1,033.52","6,18,108"
21-Jan-2010,"1,205.15","1,205.15","1,115.00","1,123.60","1,030.03","11,49,131"
20-Jan-2010,"1,182.00","1,221.00","1,142.25","1,201.40","1,101.36","11,97,566"
19-Jan-2010,"1,230.00","1,232.95","1,177.50","1,180.50","1,082.20","4,30,429"
18-Jan-2010,"1,221.05","1,249.50","1,220.10","1,223.00","1,121.16","1,43,020"
15-Jan-2010,"1,238.00","1,247.80","1,223.20","1,229.95","1,127.53","2,37,785"
14-Jan-2010,"1,239.00","1,257.00","1,232.25","1,237.10","1,134.08","2,33,748"
13-Jan-2010,"1,200.00","1,235.00","1,200.00","1,228.25","1,125.97","3,81,222"
12-Jan-2010,"1,205.00","1,230.00","1,200.20","1,209.50","1,108.78","4,80,939"
11-Jan-2010,"1,225.00","1,225.00","1,165.65","1,200.15","1,100.21","4,10,803"
