,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"72,69,800","9,24,600","2,50,600"
Other short-term investments,"2,69,48,600","1,74,23,400","88,42,100"
Total cash,"3,42,18,400","1,83,48,000","90,92,700"
Net receivables,"9,03,400","6,80,000","5,00,400"
Inventory,"63,33,800","39,46,400","33,59,000"
Other current assets,"8,99,100","12,31,600","3,76,800"
Total current assets,"4,41,02,700","2,53,50,400","1,38,09,400"
"Gross property, plant and equipment","2,78,10,000","2,19,36,900","1,48,76,800"
Accumulated depreciation,"-81,67,900","-59,26,300","-38,75,400"
"Net property, plant and equipment","1,96,42,100","1,60,10,600","1,10,01,400"
Intangible assets,"35,66,000","22,99,800","14,22,000"
Other long-term assets,"1,30,200","75,100","77,100"
Total non-current assets,"6,97,65,600","6,98,71,900","5,60,97,200"
Total assets,"11,38,68,300","9,52,22,300","6,99,06,600"
Current debt,"18,67,600","15,08,400","4,44,100"
Accounts payable,"1,29,14,300","1,24,10,100","83,27,400"
Other current liabilities,"11,29,400","2,11,000","3,900"
Total current liabilities,"2,09,81,000","2,26,52,400","1,50,14,500"
Deferred tax liabilities,"27,38,900","14,20,800","7,77,700"
Other long-term liabilities,"6,31,300","4,68,400","2,32,000"
Total non-current liabilities,"37,00,100","22,69,200","14,41,400"
Total liabilities,"2,46,81,100","2,49,21,600","1,64,55,900"
Common stock,"2,72,800","2,72,600","2,72,100"
Retained earnings,"8,36,81,100","6,52,84,500","4,89,83,500"
Total stockholders' equity,"8,91,87,200","7,03,00,700","5,34,50,700"
Total liabilities and stockholders' equity,"11,38,68,300","9,52,22,300","6,99,06,600"
