,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"2,06,80,000","2,20,27,300","1,95,96,700","1,66,70,800"
Depreciation & amortisation,-,"30,02,800","22,33,000","15,38,100"
Stock-based compensation,-,"1,53,900","2,35,100","2,05,000"
Change in working capital,-,"-45,56,600","43,80,100","16,44,300"
Inventory,-,"-23,87,400","-5,87,400","-2,75,100"
Other working capital,-,"78,39,600","1,73,37,500","1,16,11,900"
Other non-cash items,-,"-12,32,900","-3,69,400","-31,900"
Net cash provided by operating activities,-,"1,57,29,600","2,48,22,500","1,70,89,200"
"Investments in property, plant and equipment",-,"-78,90,000","-74,85,000","-54,77,300"
"Acquisitions, net",-,"-3,00,000","-1,65,000","-3,87,000"
Purchases of investments,-,"-11,62,50,400","-7,70,81,400","-1,71,61,900"
Sales/maturities of investments,-,"11,62,95,900","6,25,89,600","54,43,600"
Other investing activities,-,"2,600","29,200","28,000"
Net cash used for investing activities,-,"-65,73,700","-2,14,50,200","-1,75,18,700"
Net change in cash,-,"62,32,900","7,52,200","39,600"
Cash at beginning of period,-,"9,24,600","1,72,400","1,32,800"
Cash at end of period,-,"71,57,500","9,24,600","1,72,400"
Operating cash flow,-,"1,57,29,600","2,48,22,500","1,70,89,200"
Capital expenditure,-,"-78,90,000","-74,85,000","-54,77,300"
Free cash flow,-,"78,39,600","1,73,37,500","1,16,11,900"
