Insider,Insider Type,Type,Date,Shares
Narasimhan (R S),UNREPORTED,Direct,11-Nov-2019,282
Loffredo (Anthony John),UNREPORTED,Direct,13-Nov-2018,1
Copes (Rod),UNREPORTED,Direct,15-Jan-2019,500
Bhagavatula (Sudhakar Ananda),UNREPORTED,Direct,04-Oct-2018,570
Datta (Anupam),UNREPORTED,Direct,22-Nov-2019,200
Lakshmipathy (T),UNREPORTED,Direct,09-Jan-2019,250
Gopal (Arun),UNREPORTED,Direct,13-Nov-2018,"2,000"
Taneja (Dinesh Kumar),UNREPORTED,Direct,08-Jan-2019,200
Singh (Rudratej),Divisional Officer,Direct,11-Feb-2019,"6,000"
Brar (Abhihit Singh),UNREPORTED,Direct,04-Jun-2019,101
Malik (Lalit),Chief Financial Officer,Direct,12-Oct-2018,"2,715"
Ravichandran (R L),UNREPORTED,Direct,17-Sep-2018,150
Anantharaj (Andrew),UNREPORTED,Direct,15-Nov-2019,80
Bansal (Anuj),UNREPORTED,Direct,11-Nov-2019,700
Sharma (Rajeev),UNREPORTED,Direct,13-Nov-2018,300
Kapoor (Manhar),Company Secretary,Direct,22-Feb-2019,180
Govindarajan (B),Chief Operating Officer,Direct,11-Nov-2019,"4,000"
Prabhu (T Arul Ananda),UNREPORTED,Direct,10-May-2019,300
Sekar (Ganapathi C),UNREPORTED,Direct,20-Sep-2019,80
Kumarn (Shashi),UNREPORTED,Direct,10-Jan-2019,50
Som (Samrat),UNREPORTED,Direct,11-Feb-2019,"1,000"
Venkatesan (S),UNREPORTED,Direct,15-Nov-2018,200
Warburton (Simon),UNREPORTED,Direct,15-Jan-2019,370
Young (James),UNREPORTED,Direct,15-Jan-2019,471
Mathew (Pradeep A),UNREPORTED,Direct,10-May-2019,700
Jayapradeep (V),UNREPORTED,Direct,10-May-2019,250
Saveen (Syed Saleem),UNREPORTED,Direct,10-May-2019,600
Chockalingam (N),UNREPORTED,Direct,10-May-2019,300
Sivakumar (S),UNREPORTED,Direct,15-May-2019,400
Baker (Michael Andrew),UNREPORTED,Direct,10-May-2019,285
Neczaj (Marcin Pawel),UNREPORTED,Direct,11-Mar-2019,600
Wride (Ian),UNREPORTED,Direct,21-Feb-2019,236
Krishnan (R),UNREPORTED,Direct,19-Feb-2019,300
Anand (Vijay A),UNREPORTED,Direct,14-Feb-2019,50
Sachdeva (Rajinder S),UNREPORTED,Direct,02-Jan-2019,600
Koshy (Shaji),UNREPORTED,Direct,31-Dec-2018,"1,000"
Kumar (Ravi G),UNREPORTED,Direct,17-Sep-2018,40
Aggarwal (Vinod Kumar),Chief Executive Officer,Direct,14-Sep-2018,"3,000"
