,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,119.53,122.54,119.04,119.42,61.83,"1,19,57,831"
08-Apr-2010,121.50,122.54,119.28,120.04,62.15,"47,24,658"
07-Apr-2010,115.69,121.87,115.69,121.40,62.85,"92,62,020"
06-Apr-2010,117.70,117.80,115.06,117.29,60.73,"34,94,261"
05-Apr-2010,115.88,118.13,115.62,117.35,60.76,"55,55,488"
01-Apr-2010,115.03,116.28,114.50,115.45,59.77,"32,96,167"
31-Mar-2010,115.31,115.85,112.61,115.48,59.79,"73,76,466"
30-Mar-2010,113.06,113.33,112.22,112.61,58.30,"1,00,56,633"
29-Mar-2010,113.06,113.27,111.43,112.67,58.33,"67,53,543"
26-Mar-2010,113.06,114.13,112.58,112.94,58.47,"1,03,24,779"
25-Mar-2010,114.75,114.75,112.50,112.98,58.49,"1,43,72,380"
23-Mar-2010,115.10,116.16,113.91,114.71,59.39,"34,56,021"
22-Mar-2010,116.72,118.07,114.09,114.65,59.36,"32,18,912"
19-Mar-2010,117.32,119.11,115.96,116.47,60.30,"26,69,476"
18-Mar-2010,118.69,119.36,117.13,117.69,60.93,"15,02,859"
17-Mar-2010,116.69,119.46,116.69,118.39,61.29,"19,73,781"
16-Mar-2010,115.03,117.28,112.79,116.45,60.29,"20,97,771"
15-Mar-2010,117.14,117.55,115.06,115.64,59.87,"24,38,709"
12-Mar-2010,117.63,119.42,117.32,117.90,61.04,"56,10,005"
11-Mar-2010,115.03,117.84,114.36,117.35,60.76,"53,51,527"
10-Mar-2010,115.03,115.51,113.95,114.58,59.32,"31,60,476"
09-Mar-2010,115.86,116.30,113.78,114.64,59.35,"21,76,128"
08-Mar-2010,116.34,117.34,115.33,115.65,59.87,"60,92,238"
05-Mar-2010,113.91,115.57,113.20,114.99,59.53,"43,84,508"
04-Mar-2010,113.06,113.13,111.25,112.53,58.26,"50,39,861"
03-Mar-2010,111.09,113.15,110.57,112.53,58.26,"42,13,508"
02-Mar-2010,113.36,113.50,109.94,110.42,57.17,"59,53,682"
26-Feb-2010,113.85,115.88,111.40,112.16,58.07,"83,90,187"
25-Feb-2010,114.19,114.23,111.59,112.26,58.12,"50,27,556"
24-Feb-2010,113.71,115.30,113.34,114.23,59.14,"39,00,736"
23-Feb-2010,113.75,115.54,113.36,114.95,59.51,"34,99,812"
22-Feb-2010,114.75,115.31,113.34,113.74,58.88,"26,39,609"
19-Feb-2010,113.65,114.16,112.05,113.77,58.90,"35,17,454"
18-Feb-2010,115.31,115.31,113.26,113.65,58.84,"50,88,284"
17-Feb-2010,115.88,116.56,114.79,115.57,59.83,"49,77,948"
16-Feb-2010,114.86,115.79,113.71,115.34,59.71,"43,90,603"
15-Feb-2010,112.78,117.39,112.78,114.43,59.24,"31,12,836"
11-Feb-2010,115.54,116.51,115.36,115.94,60.03,"26,14,581"
10-Feb-2010,115.86,116.86,114.07,114.75,59.41,"59,94,055"
09-Feb-2010,115.38,116.44,114.50,114.95,59.51,"40,90,716"
08-Feb-2010,118.14,119.53,114.19,115.34,59.71,"93,53,867"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,116.58,118.97,114.26,116.97,60.56,"1,16,34,140"
04-Feb-2010,115.82,119.39,115.82,117.76,60.97,"1,14,18,937"
03-Feb-2010,113.60,115.71,113.11,114.10,59.07,"31,34,507"
02-Feb-2010,116.72,117.48,111.12,112.05,58.01,"42,49,735"
01-Feb-2010,111.38,116.78,110.25,116.04,60.08,"52,24,302"
29-Jan-2010,111.52,111.94,109.46,110.83,57.38,"45,27,360"
28-Jan-2010,111.09,113.06,109.15,111.63,57.79,"87,75,957"
27-Jan-2010,111.09,112.89,107.58,109.94,56.92,"78,98,507"
25-Jan-2010,112.65,113.53,111.25,112.51,58.25,"40,95,321"
22-Jan-2010,115.00,115.31,111.16,112.43,58.21,"1,10,14,681"
21-Jan-2010,118.94,119.87,114.89,115.66,59.88,"42,75,520"
20-Jan-2010,120.09,121.78,115.88,118.52,61.36,"99,27,172"
