,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,1,1,9,7
Avg. Estimate,49.09B,46.18B,192.25B,209.5B
Low estimate,49.09B,46.18B,168.57B,202.81B
High estimate,49.09B,46.18B,202.82B,221.75B
Year ago EPS,7.2,8.99,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,44.28B,46.06B,157.88B,192.25B
Sales growth (year/est),10.90%,0.30%,21.80%,9.00%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,6.7,7.9,7.35,9.7
Actual EPS,7.2,8.99,9.77,12.42
Difference,0.5,1.09,2.42,2.72
Surprise %,7.50%,13.80%,32.90%,28.00%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,13.09,13.73,39.63,41.21
30 days ago,13.09,13.73,39.63,41.21
60 days ago,13.09,13.73,39.63,41.21
90 days ago,13.09,13.73,39.63,41.21
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,1,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,GRASIM.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),28.04%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
