,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"73,92,23,200","70,96,82,900","55,13,52,600","35,87,76,800"
Cost of revenue,"20,03,48,700","19,84,02,300","15,83,59,100","11,96,40,000"
Gross profit,"53,88,74,500","51,12,80,600","39,29,93,500","23,91,36,800"
Research development,-,-,"2,34,400","2,50,000"
Selling general and administrative,"19,78,18,200","19,66,72,600","14,86,30,100","8,08,73,700"
Total operating expenses,"41,03,01,400","39,54,92,300","30,81,91,800","18,31,46,800"
Operating income or loss,"12,85,73,100","11,57,88,300","8,48,01,700","5,59,90,000"
Interest expense,"6,31,15,700","5,79,43,900","3,62,69,400","68,49,700"
Income before tax,"8,70,86,000","5,23,33,800","5,63,73,100","5,95,23,200"
Income tax expense,"2,74,10,800","2,45,74,300","1,94,71,200","1,70,67,100"
Income from continuing operations,"5,96,69,000","2,77,59,500","3,69,01,900","4,24,56,100"
Net income,"4,14,19,000","1,77,19,200","3,68,76,200","3,16,73,000"
Net income available to common shareholders,"4,14,19,000","1,77,19,200","3,68,76,200","3,16,73,000"
Basic EPS,-,26.96,44.22,67.85
Diluted EPS,-,26.94,44.22,67.77
Basic average shares,-,"6,57,224","6,05,701","4,66,801"
Diluted average shares,-,"6,57,676","6,06,385","4,67,336"
EBITDA,-,"14,28,82,200","11,98,86,100","8,44,48,800"
