,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"5,92,90,000","1,69,40,000","1,31,67,900"
Other short-term investments,"4,15,30,000","2,35,70,000","8,86,54,900"
Total cash,"10,08,20,000","4,05,10,000","10,18,22,800"
Net receivables,"11,70,60,000","9,63,90,000","8,30,12,600"
Inventory,"9,10,000","17,20,000","27,55,800"
Total current assets,"29,72,20,000","24,55,80,000","26,46,97,800"
"Gross property, plant and equipment","10,56,10,000","9,09,40,000","8,21,30,000"
Accumulated depreciation,"-5,03,30,000","-4,21,40,000","-3,76,67,600"
"Net property, plant and equipment","5,52,80,000","4,88,00,000","4,44,62,400"
Goodwill,"9,06,10,000","6,79,90,000","6,50,43,800"
Intangible assets,"8,53,40,000","7,39,40,000","4,73,33,000"
Other long-term assets,"40,000",-,-
Total non-current assets,"28,85,30,000","23,46,50,000","19,29,96,600"
Total assets,"58,57,50,000","48,02,30,000","45,76,94,400"
Current debt,"1,12,00,000","17,60,000","18,92,500"
Accounts payable,"1,62,30,000","1,39,60,000","1,63,68,800"
Other current liabilities,"3,11,00,000","3,15,20,000","2,93,57,400"
Total current liabilities,"12,29,90,000","10,10,70,000","11,34,16,500"
Long-term debt,"2,87,40,000","26,30,000","35,49,900"
Deferred tax liabilities,"22,60,000","3,40,000",-
Deferred revenues,"21,30,000","17,90,000","17,56,500"
Other long-term liabilities,"4,80,000","10,60,000","3,99,200"
Total non-current liabilities,"4,80,90,000","1,53,00,000","1,30,54,400"
Total liabilities,"17,10,80,000","11,63,70,000","12,64,70,900"
Common stock,"27,10,000","27,80,000","28,53,600"
Retained earnings,"38,96,40,000","31,63,40,000","25,24,17,200"
Total stockholders' equity,"41,36,40,000","36,38,60,000","32,94,98,200"
Total liabilities and stockholders' equity,"58,57,50,000","48,02,30,000","45,76,94,400"
