,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"10,43,50,000","10,12,00,000","8,72,10,000","8,60,64,700"
Depreciation & amortisation,-,"2,07,30,000","1,38,30,000","82,81,300"
Stock-based compensation,-,-,-,0
Change in working capital,-,"-2,46,60,000","-1,23,40,000","32,07,000"
Inventory,-,"10,80,000","11,70,000","-2,02,100"
Other working capital,-,"5,50,60,000","2,98,40,000","5,07,31,000"
Other non-cash items,-,"-49,60,000","-39,00,000","-64,65,400"
Net cash provided by operating activities,-,"8,97,10,000","8,32,80,000","8,99,51,300"
"Investments in property, plant and equipment",-,"-3,46,50,000","-5,34,40,000","-3,92,20,300"
"Acquisitions, net",-,"-2,82,80,000","-25,10,000","-50,17,900"
Purchases of investments,-,"-27,63,40,000","-26,00,10,000","-21,95,68,400"
Sales/maturities of investments,-,"30,51,60,000","28,94,50,000","21,85,43,100"
Other investing activities,-,"-20,40,000","-15,50,000","-27,17,700"
Net cash used for investing activities,-,"-3,07,30,000","-2,28,30,000","-3,81,65,800"
Net change in cash,-,"4,43,60,000","33,10,000","64,54,500"
Cash at beginning of period,-,"1,69,90,000","1,32,10,000","73,29,100"
Cash at end of period,-,"5,93,40,000","1,69,90,000","1,32,11,300"
Operating cash flow,-,"8,97,10,000","8,32,80,000","8,99,51,300"
Capital expenditure,-,"-3,46,50,000","-5,34,40,000","-3,92,20,300"
Free cash flow,-,"5,50,60,000","2,98,40,000","5,07,31,000"
