,0,1,2
29-Jan-2010,1, ,Dividend
26-Apr-2010,1, ,Dividend
22-Oct-2010,2.5, ,Dividend
24-Jan-2011,2, ,Dividend
25-Apr-2011,2, ,Dividend
21-Oct-2011,2, ,Dividend
20-Jan-2012,2, ,Dividend
23-Apr-2012,2, ,Dividend
19-Oct-2012,4, ,Dividend
21-Jan-2013,2, ,Dividend
22-Oct-2013,2, ,Dividend
22-Jan-2014,4, ,Dividend
18-Dec-2013,6, ,Dividend
22-Apr-2014,4, ,Dividend
21-Oct-2014,6, ,Dividend
04-Feb-2015,8, ,Dividend
24-Apr-2015,4, ,Dividend
07-Aug-2015,5, ,Dividend
23-Oct-2015,5, ,Dividend
27-Oct-2016,6, ,Dividend
01-Feb-2017,6, ,Dividend
24-May-2017,6, ,Dividend
03-Aug-2017,1, ,Dividend
01-Nov-2017,1, ,Dividend
29-Jan-2018,1, ,Dividend
09-May-2018,1, ,Dividend
02-Aug-2018,1, ,Dividend
31-Oct-2019,1, ,Dividend
24-Jan-2020,2, ,Dividend
