,Most-recent transaction,Date,Shares owned as of transaction date
Dutta (Anup),Other,17-Dec-2019,"59,440"
Ganesh (R),Sale,23-Jan-2020,"45,316"
Ganjoo (Anil),Sale,22-Jun-2020,"341,536"
Gattu (Jagadeshar),Other,17-Dec-2019,"23,430"
Gopalkrishnan (Shankar),Other,17-Dec-2019,"81,920"
Kolllagunta (Shivakumar Sreenivasa),Sale,29-Jan-2020,"3,802"
Madhavan (Subramanian),Other,17-Dec-2019,"4,000"
Nadar (Kiran),Purchase,24-Feb-2020,"494,602"
Vamasundari Investments (Delhi) Pvt Ltd,Acquisition,24-Mar-2020,"1,172,772,190"
Varre (Apparao Venkata),Sale,23-Jun-2020,"26,000"
