Insider,Insider Type,Type,Date,Shares
Varre (Apparao Venkata),UNREPORTED,Direct,17-Dec-2019,"22,963"
Ganjoo (Anil),UNREPORTED,Direct,17-Dec-2019,"183,768"
Vamasundari Investments (Delhi) Pvt Ltd,Promoter,Direct,09-Oct-2018,"14,417,895"
Nadar (Kiran),Promoter,Direct,17-Dec-2019,72
Kolllagunta (Shivakumar Sreenivasa),UNREPORTED,Direct,27-Jan-2020,198
Ganesh (R),UNREPORTED,Direct,13-May-2019,"5,000"
Dutta (Anup),UNREPORTED,Direct,17-Dec-2019,"48,440"
Gattu (Jagadeshar),UNREPORTED,Direct,09-Oct-2018,"1,987"
Gopalkrishnan (Shankar),UNREPORTED,Direct,17-Dec-2019,"40,960"
Madhavan (Subramanian),UNREPORTED,Direct,17-Dec-2019,"2,500"
Madhvan (Ananya),UNREPORTED,Direct,17-Dec-2019,132
Malhotra (Roshni Nadar),Promoter,Direct,17-Dec-2019,348
Mallya (Swapna),UNREPORTED,Direct,17-Dec-2019,577
Mallya (Vijay),UNREPORTED,Direct,17-Dec-2019,"15,000"
Mehrotra (Anubhav Ashok),UNREPORTED,Direct,17-Dec-2019,"10,000"
Mendiratta (R K),UNREPORTED,Direct,17-Dec-2019,108
Mendiratta (Sanjay),UNREPORTED,Direct,17-Dec-2019,"12,763"
Mendiratta (Usha),UNREPORTED,Direct,17-Dec-2019,244
Nadar (Shiv),Promoter,Direct,17-Dec-2019,368
Nair (Ajay Kumar G),UNREPORTED,Direct,17-Dec-2019,"38,400"
Nanda (Rajeev),UNREPORTED,Direct,17-Dec-2019,"19,096"
Pahuaj (Gurpreet),UNREPORTED,Direct,17-Dec-2019,"3,120"
Parthasarathy (R),UNREPORTED,Direct,17-Dec-2019,"15,084"
Pillai (Ramesh Govinda),UNREPORTED,Direct,17-Dec-2019,"2,000"
Ramachandran (Chandraraj),UNREPORTED,Direct,17-Dec-2019,"31,600"
Sundriyal (Jaideep),UNREPORTED,Direct,24-Sep-2019,"5,040"
Tiwari (Anoop),UNREPORTED,Direct,17-Dec-2019,"64,400"
Vadapalli (Surya Pawan Kumar.),UNREPORTED,Direct,17-Dec-2019,"15,060"
Varghese (Renju George),UNREPORTED,Direct,17-Dec-2019,"28,000"
Vasudevan (A),UNREPORTED,Direct,12-Sep-2019,"10,000"
Venkatesan,UNREPORTED,Direct,17-Dec-2019,"27,026"
Verma (Vijay Kumar),UNREPORTED,Direct,17-Dec-2019,"78,734"
Vijayaraghavan (Rangrajan),UNREPORTED,Direct,17-Dec-2019,"43,600"
Yeddanapudi (Ravi),UNREPORTED,Direct,17-Dec-2019,"35,274"
Abraham (Teena),UNREPORTED,Direct,17-Dec-2019,55
Adeeb (Anupam),UNREPORTED,Direct,17-Dec-2019,"8,453"
Ajay (Shankar),UNREPORTED,Direct,17-Dec-2019,700
Anand (Manish),UNREPORTED,Direct,17-Dec-2019,"17,688"
Ashok (Priyadarshi Das),UNREPORTED,Direct,29-Nov-2019,"20,000"
Bahl (Ajay),UNREPORTED,Direct,17-Dec-2019,"31,716"
Baruah (Shantanu),UNREPORTED,Direct,17-Dec-2019,"44,400"
Baskaran (R),UNREPORTED,Direct,17-Dec-2019,"19,440"
Bhasin (Harbans Lal),UNREPORTED,Direct,17-Dec-2019,120
Bhaskaran (Hemalatha),UNREPORTED,Direct,17-Dec-2019,"22,050"
Chakravarty (Surbat),UNREPORTED,Direct,17-Dec-2019,"2,458"
Chava (Ajay Kumar Sreehari),UNREPORTED,Direct,17-Dec-2019,"6,400"
Chinnaswamy (Vijaya Kumar),UNREPORTED,Direct,17-Dec-2019,"105,849"
Dawra (Amit),UNREPORTED,Direct,17-Dec-2019,"2,810"
Devarajan (Vittal),UNREPORTED,Direct,28-Aug-2019,"2,560"
Guntur (Vijay Anand),UNREPORTED,Direct,01-Aug-2018,"2,600"
Gupta (Amit),UNREPORTED,Direct,17-Dec-2019,"10,970"
Gupta (Ashish K),UNREPORTED,Direct,17-Dec-2019,"70,526"
Gupta (Munish),UNREPORTED,Direct,17-Dec-2019,"32,960"
Hcl Avitas Pvt Ltd,Promoter,Direct,09-Oct-2018,"100,325"
HCL Corporation Ltd.,Promoter,Direct,09-Oct-2018,"113,933"
HCL Holdings Pvt. Ltd.,Promoter,Direct,09-Oct-2018,"10,556,795"
Jain (Atul Kumar),UNREPORTED,Direct,17-Dec-2019,"10,996"
Johri (Swapan),UNREPORTED,Direct,17-Dec-2019,"66,297"
Kaur (Devendra),UNREPORTED,Direct,17-Dec-2019,"18,500"
Kohli (Gurpreet Singh),UNREPORTED,Direct,17-Dec-2019,"3,000"
Kumar (S),UNREPORTED,Direct,17-Dec-2019,"74,402"
Kumar (Shiv K S),UNREPORTED,Direct,17-Dec-2019,"2,954"
LAKSHMANAN (Raghu Raman),UNREPORTED,Direct,17-Dec-2019,"38,400"
Rao (Gade Hanumantha),UNREPORTED,Direct,04-Sep-2018,"8,000"
Roy (Alok),UNREPORTED,Direct,17-Dec-2019,"14,460"
Roy (Amit),UNREPORTED,Direct,23-Aug-2018,"2,200"
Rungta (Gayatri),UNREPORTED,Direct,17-Dec-2019,184
Rungta (Goutam),UNREPORTED,Direct,17-Dec-2019,"35,393"
Rungta (Ruchika),UNREPORTED,Direct,17-Dec-2019,"5,665"
Sengupta (Amitava),UNREPORTED,Direct,08-Nov-2019,"10,000"
Seshadari (Srinivasan),UNREPORTED,Direct,17-Dec-2019,"25,166"
Sethi (Rupinder Singh),UNREPORTED,Direct,17-Dec-2019,"67,213"
Shankar (Abhishek),UNREPORTED,Direct,17-Dec-2019,"86,240"
Shiv Nadar Foundation,Promoter,Direct,17-Dec-2019,368
Singh (Rahul),UNREPORTED,Direct,09-Oct-2018,"41,823"
Singh (Sanjay),UNREPORTED,Direct,17-Dec-2019,"57,600"
Singh (Tajeshwar),UNREPORTED,Direct,17-Dec-2019,"4,600"
Rangarajan (V),UNREPORTED,Direct,03-Sep-2019,"4,000"
Modi (Puneet),UNREPORTED,Direct,28-Aug-2019,"7,419"
Vijayakumar (C),UNREPORTED,Direct,22-Mar-2019,"40,645"
Chanana (Anil Kumar),Chief Financial Officer,Direct,14-Aug-2018,"20,000"
Murthy (Chunduri Dakshina),UNREPORTED,Direct,09-Oct-2018,"1,790"
Balakrishnan (G),UNREPORTED,Direct,27-Aug-2018,200
