,value1,value2,value3,value4
Earnings estimate,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
No. of analysts,2,1,28,29
Avg. Estimate,35.41B,13M,155.38B,154.46B
Low estimate,34.61B,13M,114.8B,133.57B
High estimate,36.21B,13M,190.85B,188.6B
Year ago EPS,12.06,9.71,45.7,66.72
Revenue estimate,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
Year ago sales,32.15B,26.84B,112.15B,155.38B
Sales growth (year/est),10.10%,-100.00%,38.50%,-0.60%
Earnings history,31/3/2017,30/6/2017,30/9/2017,31/12/2017
Est. EPS,12.43,10.85,12.49,12.15
Actual EPS,12.06,9.71,13.01,12.29
Difference,-0.37,-1.14,0.52,0.14
Surprise %,-3.00%,-10.50%,4.20%,1.20%
EPS trend,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
Current estimate,14.82,10.1,66.72,58.65
7 days ago,14.82,10.1,66.72,58.65
30 days ago,14.82,10.1,64.1,58.61
60 days ago,14.39,0,69.31,75.06
90 days ago,14.39,0,52.94,59.4
EPS revisions,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,5,4
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,HDFC.NS,Industry,Sector,S&P 500
Current qtr.,22.90%,N/A,N/A,N/A
Next qtr.,4.00%,N/A,N/A,N/A
Current year,46.00%,N/A,N/A,N/A
Next year,-12.10%,N/A,N/A,N/A
Next 5 years (per annum),15.05%,N/A,N/A,N/A
Past 5 years (per annum),9.45%,N/A,N/A,N/A
