,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,546.22,569.90,546.22,568.61,467.07,"38,48,695"
08-Apr-2010,562.60,562.60,543.00,545.18,447.82,"24,10,810"
07-Apr-2010,566.00,566.40,556.00,561.31,461.07,"18,60,015"
06-Apr-2010,561.02,567.00,555.40,564.99,464.10,"27,82,870"
05-Apr-2010,559.00,560.94,553.59,559.01,459.18,"23,19,815"
01-Apr-2010,543.98,558.80,543.00,556.51,457.13,"32,74,475"
31-Mar-2010,533.60,546.74,523.20,543.44,446.39,"42,73,085"
30-Mar-2010,534.02,537.94,526.20,527.74,433.50,"25,55,415"
29-Mar-2010,524.94,537.00,523.02,532.22,437.18,"35,07,575"
26-Mar-2010,519.52,528.00,518.42,522.60,429.28,"22,20,140"
25-Mar-2010,522.00,524.78,512.34,517.23,424.86,"88,78,320"
23-Mar-2010,528.76,528.76,522.02,524.31,430.68,"34,41,455"
22-Mar-2010,536.40,536.99,520.20,524.97,431.22,"41,31,245"
19-Mar-2010,548.00,549.00,535.62,538.89,442.66,"56,41,900"
18-Mar-2010,547.00,551.90,544.06,547.59,449.80,"26,39,660"
17-Mar-2010,541.00,546.95,538.60,545.35,447.96,"20,37,165"
16-Mar-2010,536.00,540.72,530.60,537.77,441.74,"26,58,345"
15-Mar-2010,541.00,543.14,533.40,535.05,439.50,"17,20,195"
12-Mar-2010,540.51,544.00,534.28,543.14,446.15,"27,85,990"
11-Mar-2010,540.20,543.00,536.50,540.31,443.82,"21,95,310"
10-Mar-2010,532.80,542.40,530.22,541.15,444.51,"48,06,005"
09-Mar-2010,521.40,533.00,517.32,531.85,436.87,"44,08,740"
08-Mar-2010,520.40,524.80,517.00,522.25,428.99,"21,10,775"
05-Mar-2010,521.20,525.55,515.00,517.67,425.23,"19,84,085"
04-Mar-2010,518.80,522.48,516.00,519.24,426.52,"21,40,575"
03-Mar-2010,511.00,522.00,509.08,520.93,427.90,"33,66,985"
02-Mar-2010,503.06,514.40,499.09,512.06,420.62,"31,22,775"
26-Feb-2010,494.96,505.94,489.16,500.06,410.76,"28,28,490"
25-Feb-2010,499.80,505.59,491.33,492.50,404.55,"21,76,185"
24-Feb-2010,501.00,506.76,497.00,498.57,409.54,"17,70,885"
