,Most-recent transaction,Date,Shares owned as of transaction date
Goel (Vikram),Other,25-Jun-2020,"22,000"
Jha (Sudhir Kumar),Other,25-Jun-2020,"44,125"
Koduvayur (Viswanathan),Other,25-Jun-2020,"109,720"
Kumar (Rajalakshmi),Sale,30-Jun-2020,"63,400"
Kumar (Suresh K),Other,25-Jun-2020,"401,058"
Rangan (Srinivasa V),Other,25-Jun-2020,"470,000"
Rosy (Dias),Other,25-Jun-2020,"108,295"
Sankaranarayan (R),Sale,30-Jun-2020,"157,000"
Shaligram (S V),Other,25-Jun-2020,"148,473"
Sikchi (Praveen R),Sale,30-Jun-2020,"29,704"
