,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,3,3,39,39
Avg. Estimate,167.52B,178.62B,651.18B,780.89B
Low estimate,165.7B,177.42B,613.47B,701.94B
High estimate,168.59B,180B,666B,815.84B
Year ago EPS,17.7,18.3,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,141.84B,148.86B,553.15B,651.18B
Sales growth (year/est),18.10%,20.00%,17.70%,19.90%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,18.08,18.68,18.39,19.27
Actual EPS,17.7,18.3,17.5,18.5
Difference,-0.38,-0.38,-0.89,-0.77
Surprise %,-2.10%,-2.00%,-4.80%,-4.00%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,21.5,21.76,78.87,96.36
30 days ago,21.5,21.76,78.87,96.36
60 days ago,21.5,21.76,78.87,96.36
90 days ago,21.5,21.76,78.87,96.36
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,1,N/A
Up last 30 days,N/A,N/A,1,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,1,2
Growth estimates,HDFCBANK.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),20.98%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
