Insider,Insider Type,Type,Date,Shares
Dharmadhikari (Akhilesh Ashok),UNREPORTED,Direct,29-May-2020,"2,500"
Shetty (Ajit Subhas),UNREPORTED,Direct,18-Jun-2020,"1,000"
Khanna (Ashok),UNREPORTED,Direct,08-Jun-2020,"13,000"
Parthasarthy (Ashish),UNREPORTED,Direct,18-Jun-2020,"164,600"
Relli (Dhiraj),UNREPORTED,Direct,23-Jun-2020,"50,000"
Sampat (Ritesh Sharad),UNREPORTED,Direct,02-Jun-2020,"2,500"
Tandon (Vikrant),UNREPORTED,Direct,03-Jun-2020,"1,000"
Mohanty (Deepak Kumar),UNREPORTED,Direct,19-Jun-2020,"2,000"
Panda (Bhaskar C),UNREPORTED,Direct,01-Jun-2020,"5,000"
Nagda (Mehul Dilip),UNREPORTED,Direct,11-Jun-2020,"4,000"
Abraham (Jomy),UNREPORTED,Direct,19-Jun-2020,"1,700"
Bharucha (Kaizad M),UNREPORTED,Direct,19-Jun-2020,"45,000"
Chawla (Neeraj),UNREPORTED,Direct,09-Jun-2020,"1,035"
Bhavnani (Anil L),UNREPORTED,Direct,03-Jun-2020,"5,400"
Bhat (Ashima),UNREPORTED,Direct,01-Jun-2020,"9,000"
Bhuyan (Sanjiv),UNREPORTED,Direct,08-Jun-2020,"2,000"
Abraham (Ashish Punnose),UNREPORTED,Direct,04-Jun-2020,"5,000"
Saurabbh (Sammeer),UNREPORTED,Direct,22-Jun-2020,900
Mohanty (Arun Kumar),UNREPORTED,Direct,18-Jun-2020,"74,325"
Mankodi (Anand Deepak),UNREPORTED,Direct,04-Jun-2020,"3,000"
Rakshit (Arup Kumar),UNREPORTED,Direct,22-Jun-2020,"5,000"
Handa (Neena),UNREPORTED,Direct,02-Jun-2020,"2,000"
Mittal (Munish),UNREPORTED,Direct,04-Jun-2020,"42,400"
Shah (Nirav Vimal),UNREPORTED,Direct,18-Jun-2020,"236,200"
Agrawal (Manish K),UNREPORTED,Direct,29-May-2020,"5,000"
Agarwal (Ashish),UNREPORTED,Direct,03-Jun-2020,"31,000"
Chakrabarti (Sanmoy),UNREPORTED,Direct,18-Jun-2020,"9,800"
Chakrabarti (Shantanu S),UNREPORTED,Direct,18-Jun-2020,"142,722"
Bhat (Anand A),UNREPORTED,Direct,18-Jun-2020,900
Babu (C R),UNREPORTED,Direct,18-Jun-2020,"35,740"
Rajesh (Sharma),UNREPORTED,Direct,05-Jun-2020,"3,000"
Khandelwal (Gaurav),UNREPORTED,Direct,02-Jun-2020,"10,000"
Jindal (Rakesh),UNREPORTED,Direct,18-Jun-2020,"1,000"
Mittal (Mallika Vipin),UNREPORTED,Direct,18-Jun-2020,"1,700"
Mhatre (Mandar),UNREPORTED,Direct,29-May-2020,"2,000"
Naik (Rajesh Kanaiyalal),UNREPORTED,Direct,18-Jun-2020,"1,000"
Nandikesan (Laxmi),UNREPORTED,Direct,29-May-2020,"1,750"
Mota (Nirav H),UNREPORTED,Direct,18-Jun-2020,"9,600"
Mehta (Apurva),UNREPORTED,Direct,18-Jun-2020,"9,253"
Dixit (Akshay S),UNREPORTED,Direct,18-Jun-2020,"4,000"
Desai (Sanjay A),UNREPORTED,Direct,18-Jun-2020,"35,600"
Dayal (Amit),UNREPORTED,Direct,01-Jun-2020,"2,000"
da Costa Frias (Arabelle),UNREPORTED,Direct,18-Jun-2020,"10,900"
Goenka (Sharad Vijaykumar),UNREPORTED,Direct,18-Jun-2020,"24,300"
Gada (Asmita P),UNREPORTED,Direct,18-Jun-2020,"13,800"
Thakar (Bhagyesh),UNREPORTED,Direct,18-Jun-2020,700
Thakkar (Bhagyesh),UNREPORTED,Direct,17-Jun-2020,"1,200"
Vazirani (Vivek Ramesh),UNREPORTED,Direct,18-Jun-2020,"2,100"
Zaveri (Bhavesh),UNREPORTED,Direct,29-May-2020,"134,880"
Jagdishan (Sashidhar),Chief Financial Officer,Direct,17-Jun-2020,"512,094"
Quadros (Augustine),UNREPORTED,Direct,05-Jun-2020,"20,000"
Maroo (Rohit),UNREPORTED,Direct,08-Jun-2020,300
Tikekar (Bindumadhav Prabhakar),UNREPORTED,Direct,03-Jun-2020,"9,000"
Swaminathan (Satyamurthy),UNREPORTED,Direct,05-Jun-2020,"5,000"
Singh (Rakesh Kumar),UNREPORTED,Direct,05-Jun-2020,"156,000"
Mulbagal (Vijay Krishna),UNREPORTED,Direct,03-Jun-2020,"7,494"
Saraff (Amit Kumar),UNREPORTED,Direct,05-Jun-2020,"1,000"
Raikar (Ramnath V),UNREPORTED,Direct,02-Jun-2020,"20,000"
Mathur (Anand Ashok),UNREPORTED,Direct,02-Jun-2020,900
Sankar (Sangeetha),UNREPORTED,Direct,03-Jun-2020,500
Sankararaman (Anand),UNREPORTED,Direct,03-Jun-2020,"8,500"
Pinto (Arabelle),UNREPORTED,Direct,03-Jun-2020,"15,000"
Singh (Sanjay Kumar),UNREPORTED,Direct,03-Jun-2020,"1,250"
Sengupta (Rajeev),UNREPORTED,Direct,03-Jun-2020,"6,074"
Dsouza (Sanjay),UNREPORTED,Direct,03-Jun-2020,"9,600"
Natarajan (R),UNREPORTED,Direct,02-Jun-2020,"9,600"
Das (Vanita),UNREPORTED,Direct,01-Jun-2020,"7,911"
Desai (Ashwini Vishal),UNREPORTED,Direct,01-Jun-2020,"2,357"
Jitani (Nishant Santkumar),UNREPORTED,Direct,01-Jun-2020,"8,000"
