,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"3,80,49,200","3,44,40,900","3,72,04,000","3,58,42,700"
Depreciation & amortisation,-,"62,44,400","57,49,800","50,22,500"
Stock-based compensation,-,"65,500","53,500","34,200"
Change in working capital,-,"-1,94,57,600","19,74,600","46,15,500"
Inventory,-,"-28,68,600","-25,41,000","5,34,100"
Other working capital,-,"5,27,100","3,19,30,500","2,76,90,800"
Other non-cash items,-,"-25,08,500","-12,63,900","-13,20,200"
Net cash provided by operating activities,-,"1,03,22,700","4,01,72,100","4,00,71,900"
"Investments in property, plant and equipment",-,"-97,95,600","-82,41,600","-1,23,81,100"
"Acquisitions, net",-,"-62,83,000","-9,00,900","-21,69,200"
Purchases of investments,-,"-39,47,89,100","-34,85,40,200","-29,04,87,700"
Sales/maturities of investments,-,"42,02,04,500","33,68,15,800","28,33,48,200"
Other investing activities,-,-100,-,-
Net cash used for investing activities,-,"1,29,76,300","-1,85,82,100","-1,97,19,500"
Net change in cash,-,"7,75,100","5,65,500","-6,200"
Cash at beginning of period,-,"13,06,100","7,40,600","7,46,800"
Cash at end of period,-,"20,81,200","13,06,100","7,40,600"
Operating cash flow,-,"1,03,22,700","4,01,72,100","4,00,71,900"
Capital expenditure,-,"-97,95,600","-82,41,600","-1,23,81,100"
Free cash flow,-,"5,27,100","3,19,30,500","2,76,90,800"
