,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,"2,030.00","2,072.00","2,030.00","2,056.95","1,417.09","3,65,094"
08-Apr-2010,"2,035.00","2,060.00","2,006.10","2,017.25","1,389.74","3,74,813"
07-Apr-2010,"2,058.00","2,075.95","2,020.00","2,038.10","1,404.11","4,75,419"
06-Apr-2010,"2,050.00","2,078.80","2,028.50","2,039.10","1,404.80","5,35,341"
05-Apr-2010,"1,954.00","2,059.00","1,948.10","2,038.25","1,404.21","6,07,069"
01-Apr-2010,"1,965.00","1,978.80","1,938.15","1,945.25","1,340.14","3,98,203"
31-Mar-2010,"2,001.00","2,030.00","1,936.00","1,944.40","1,339.55","5,94,801"
30-Mar-2010,"2,048.80","2,057.95","1,961.55","1,967.35","1,355.36","6,88,516"
29-Mar-2010,"2,012.00","2,036.65","2,000.00","2,006.20","1,382.13","3,36,444"
26-Mar-2010,"2,027.70","2,079.65","1,990.90","2,010.75","1,385.26","12,04,017"
25-Mar-2010,"1,920.00","2,058.00","1,920.00","2,023.60","1,394.12","12,11,336"
23-Mar-2010,"1,958.80","1,977.55","1,927.00","1,938.10","1,335.21","2,61,757"
22-Mar-2010,"1,950.00","1,967.50","1,935.25","1,949.95","1,343.38","3,35,754"
19-Mar-2010,"1,949.00","1,977.90","1,935.00","1,968.20","1,355.95","4,61,442"
18-Mar-2010,"1,931.50","1,943.70","1,925.00","1,934.60","1,332.80","3,24,542"
17-Mar-2010,"1,938.00","1,943.75","1,916.30","1,931.50","1,330.67","2,04,551"
16-Mar-2010,"1,910.75","1,939.05","1,905.00","1,913.95","1,318.58","1,89,726"
15-Mar-2010,"1,931.00","1,944.70","1,903.20","1,910.75","1,316.37","3,73,530"
12-Mar-2010,"1,860.40","1,932.05","1,860.40","1,918.55","1,321.75","3,73,725"
11-Mar-2010,"1,941.25","1,944.70","1,901.30","1,912.15","1,317.34","6,70,880"
10-Mar-2010,"1,889.80","1,954.00","1,878.20","1,939.65","1,336.28","5,67,857"
09-Mar-2010,"1,901.60","1,918.50","1,868.20","1,875.95","1,292.40","4,41,606"
08-Mar-2010,"1,880.00","1,927.90","1,876.00","1,913.90","1,318.54","6,86,239"
05-Mar-2010,"1,799.00","1,894.70","1,799.00","1,870.60","1,288.71","3,60,018"
04-Mar-2010,"1,809.90","1,811.85","1,781.00","1,800.40","1,240.35","2,75,290"
03-Mar-2010,"1,810.00","1,819.75","1,795.00","1,811.80","1,248.20","2,96,134"
02-Mar-2010,"1,790.00","1,808.00","1,780.00","1,794.50","1,236.28","4,07,909"
26-Feb-2010,"1,691.65","1,800.00","1,690.25","1,777.65","1,224.67","4,14,280"
25-Feb-2010,"1,675.65","1,713.00","1,643.35","1,700.25","1,171.35","9,06,439"
24-Feb-2010,"1,688.00","1,689.00","1,652.40","1,672.25","1,152.06","2,83,000"
23-Feb-2010,"1,690.00","1,715.00","1,675.60","1,693.85","1,166.94","3,25,274"
22-Feb-2010,"1,724.85","1,724.85","1,695.40","1,707.25","1,176.17","2,11,647"
19-Feb-2010,"1,671.55","1,698.00","1,659.20","1,680.35","1,157.64","2,38,997"
18-Feb-2010,"1,708.70","1,718.00","1,688.20","1,703.00","1,173.25","2,30,212"
17-Feb-2010,"1,700.45","1,709.90","1,680.30","1,698.40","1,170.08","5,75,364"
16-Feb-2010,"1,714.70","1,714.70","1,677.00","1,695.40","1,168.01","2,92,129"
15-Feb-2010,"1,690.00","1,725.00","1,662.50","1,704.35","1,174.18","7,47,800"
11-Feb-2010,"1,638.00","1,701.00","1,621.00","1,690.95","1,164.94","7,69,067"
10-Feb-2010,"1,630.00","1,639.00","1,592.00","1,630.65","1,123.40","8,67,135"
09-Feb-2010,"1,569.40","1,625.00","1,561.30","1,618.30","1,114.89","6,32,885"
08-Feb-2010,"1,588.70","1,619.90","1,567.20","1,578.25","1,087.30","2,86,278"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,"1,575.00","1,595.50","1,522.65","1,585.40","1,092.23","2,89,159"
04-Feb-2010,"1,595.00","1,623.70","1,568.60","1,600.45","1,102.60","1,93,176"
03-Feb-2010,"1,585.00","1,631.95","1,572.20","1,599.60","1,102.01","4,72,444"
02-Feb-2010,"1,599.40","1,605.00","1,550.00","1,568.45","1,080.55","3,38,167"
01-Feb-2010,"1,588.70","1,588.70","1,536.30","1,580.95","1,089.16","2,09,979"
29-Jan-2010,"1,525.25","1,575.00","1,495.00","1,559.00","1,074.04","4,32,901"
28-Jan-2010,"1,565.00","1,571.95","1,522.00","1,539.10","1,060.33","15,02,871"
27-Jan-2010,"1,609.80","1,638.50","1,540.25","1,550.15","1,067.94","7,90,006"
25-Jan-2010,"1,649.00","1,658.70","1,616.00","1,621.45","1,117.06","2,99,520"
22-Jan-2010,"1,632.50","1,665.00","1,595.00","1,649.40","1,136.32","3,64,642"
21-Jan-2010,"1,675.10","1,692.00","1,645.30","1,653.20","1,138.94","2,10,985"
20-Jan-2010,"1,665.00","1,694.00","1,647.70","1,688.65","1,163.36","3,47,805"
19-Jan-2010,"1,694.60","1,700.80","1,656.10","1,664.10","1,146.45","1,78,910"
18-Jan-2010,"1,616.00","1,697.00","1,601.00","1,694.60","1,167.46","3,83,077"
15-Jan-2010,"1,630.00","1,640.00","1,616.00","1,625.35","1,119.75","2,15,112"
14-Jan-2010,"1,635.00","1,643.30","1,615.20","1,621.30","1,116.96","4,51,344"
13-Jan-2010,"1,640.10","1,661.00","1,607.50","1,625.75","1,120.03","5,59,327"
12-Jan-2010,"1,676.40","1,688.80","1,632.30","1,644.75","1,133.12","3,81,602"
11-Jan-2010,"1,650.00","1,688.45","1,648.00","1,676.40","1,154.92","2,49,598"
08-Jan-2010,"1,659.70","1,667.40","1,616.10","1,645.20","1,133.43","4,71,781"
07-Jan-2010,"1,705.00","1,705.00","1,637.00","1,653.20","1,138.94","4,33,144"
06-Jan-2010,"1,721.00","1,721.00","1,683.60","1,695.40","1,168.01","5,12,455"
05-Jan-2010,"1,723.00","1,730.00","1,711.15","1,717.40","1,183.17","3,73,950"
04-Jan-2010,"1,732.90","1,738.50","1,702.30","1,712.95","1,180.10","3,33,481"
19-Jul-2010,"1,970.00","1,978.05","1,951.15","1,956.65","1,401.75","1,89,214"
16-Jul-2010,"1,974.00","1,990.00","1,970.00","1,979.80","1,418.34","74,089"
15-Jul-2010,"1,990.00","1,997.00","1,967.05","1,976.80","1,416.19","1,42,748"
14-Jul-2010,"1,981.00","2,018.70","1,976.55","1,998.80","1,431.95","3,74,991"
13-Jul-2010,"1,980.00","1,994.00","1,965.00","1,978.75","1,417.59","2,24,651"
12-Jul-2010,"2,037.70","2,037.70","1,970.30","1,974.80","1,414.76","2,67,548"
09-Jul-2010,"2,009.00","2,021.90","1,998.70","2,011.10","1,440.76","2,46,043"
08-Jul-2010,"2,020.00","2,026.75","1,996.00","2,007.55","1,438.22","1,74,648"
07-Jul-2010,"2,005.10","2,023.00","1,995.00","2,001.40","1,433.81","1,05,061"
06-Jul-2010,"2,026.00","2,031.50","2,003.00","2,013.95","1,442.80","1,23,331"
05-Jul-2010,"2,021.00","2,029.90","1,995.20","2,022.25","1,448.75","1,29,470"
02-Jul-2010,"2,020.15","2,041.10","2,015.00","2,020.95","1,447.82","1,07,595"
01-Jul-2010,"2,055.00","2,057.00","2,015.20","2,020.15","1,447.24","2,56,604"
30-Jun-2010,"2,042.50","2,070.00","2,022.10","2,048.55","1,467.59","2,08,385"
29-Jun-2010,"2,043.10","2,056.00","2,026.10","2,047.30","1,466.70","1,16,120"
28-Jun-2010,"2,045.50","2,059.00","2,028.20","2,053.45","1,471.10","1,32,807"
25-Jun-2010,"2,050.00","2,064.90","2,038.10","2,056.10","1,473.00","1,96,318"
24-Jun-2010,"2,025.25","2,064.00","2,025.25","2,058.40","1,474.65","6,75,428"
23-Jun-2010,"2,022.00","2,047.90","2,002.15","2,038.90","1,460.68","3,60,320"
22-Jun-2010,"2,010.00","2,032.75","2,010.00","2,020.00","1,447.14","2,42,793"
21-Jun-2010,"2,031.55","2,046.80","2,020.00","2,026.40","1,451.72","2,69,973"
18-Jun-2010,"1,987.00","2,033.75","1,987.00","2,020.90","1,447.78","5,77,755"
17-Jun-2010,"2,005.55","2,010.00","1,970.00","1,983.75","1,421.17","4,31,761"
16-Jun-2010,"2,035.00","2,040.80","2,001.00","2,017.10","1,445.06","2,16,357"
15-Jun-2010,"2,010.00","2,035.00","1,993.55","2,027.95","1,452.83","2,67,528"
14-Jun-2010,"2,015.15","2,029.00","1,995.20","2,008.55","1,438.93","2,17,847"
11-Jun-2010,"2,015.00","2,034.45","2,004.15","2,013.35","1,442.37","2,83,680"
10-Jun-2010,"1,925.00","2,012.00","1,920.10","2,005.75","1,436.93","5,10,463"
09-Jun-2010,"1,930.00","1,947.80","1,910.00","1,920.60","1,375.93","3,45,811"
08-Jun-2010,"1,985.00","2,004.90","1,924.15","1,930.65","1,383.13","3,71,306"
07-Jun-2010,"1,970.00","1,996.00","1,951.00","1,977.85","1,416.94","5,76,762"
04-Jun-2010,"1,979.00","2,012.45","1,974.00","1,996.25","1,430.12","2,23,673"
03-Jun-2010,"1,995.00","2,049.00","1,975.00","1,979.45","1,418.09","5,57,550"
02-Jun-2010,"1,929.00","1,998.00","1,912.10","1,986.45","1,423.10","8,87,510"
01-Jun-2010,"1,950.00","1,953.70","1,901.55","1,924.45","1,378.69","4,86,762"
31-May-2010,"1,931.00","1,949.80","1,912.20","1,937.45","1,388.00","2,91,403"
28-May-2010,"1,910.00","1,925.00","1,891.30","1,919.65","1,375.25","2,37,902"
27-May-2010,"1,891.00","1,919.85","1,875.50","1,898.80","1,360.31","4,15,299"
26-May-2010,"1,855.00","1,909.95","1,855.00","1,898.75","1,360.27","3,18,450"
25-May-2010,"1,889.70","1,904.00","1,845.50","1,868.50","1,338.60","5,11,408"
24-May-2010,"1,865.00","1,899.90","1,855.10","1,893.15","1,356.26","1,98,281"
21-May-2010,"1,836.20","1,863.20","1,821.55","1,855.00","1,328.93","2,84,974"
20-May-2010,"1,865.00","1,884.80","1,848.70","1,862.65","1,334.41","2,70,724"
19-May-2010,"1,825.00","1,867.80","1,822.20","1,858.60","1,331.51","9,44,127"
18-May-2010,"1,847.00","1,859.00","1,818.00","1,837.05","1,316.07","2,67,664"
17-May-2010,"1,880.00","1,880.00","1,833.35","1,849.20","1,324.78","2,42,959"
14-May-2010,"1,875.55","1,921.75","1,871.10","1,876.80","1,344.55","1,51,527"
