,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"9,11,87,400","8,04,49,400","8,23,34,000"
Other short-term investments,"4,51,10,300","3,90,44,700","8,96,17,500"
Total cash,"13,62,97,700","11,94,94,100","17,19,51,500"
Net receivables,"11,45,97,600","9,95,98,100","8,27,48,000"
Inventory,"22,19,37,900","21,63,13,900","18,29,13,600"
Total current assets,"53,86,43,000","49,85,43,700","51,18,46,600"
"Gross property, plant and equipment","1,07,21,50,800","1,01,40,52,700","98,22,40,000"
Accumulated depreciation,"-39,05,55,200","-35,53,57,000","-32,56,67,000"
"Net property, plant and equipment","68,15,95,600","65,86,95,700","65,65,73,000"
Goodwill,"18,57,46,100","17,82,94,400","17,13,49,600"
Intangible assets,"3,19,90,100","3,42,86,400","3,68,41,200"
Total non-current assets,"98,76,73,900","97,80,27,500","95,32,58,500"
Total assets,"1,52,63,16,900","1,47,65,71,200","1,46,51,05,100"
Current debt,"4,37,42,500","4,14,42,800","11,89,91,800"
Accounts payable,"20,72,28,500","20,41,51,100","17,85,76,000"
Other current liabilities,"8,93,800",-,-
Total current liabilities,"33,73,89,300","32,31,65,200","37,69,51,500"
Long-term debt,"47,94,68,300","47,79,67,300",-
Deferred tax liabilities,"4,45,34,700","3,77,65,700","2,86,65,600"
Deferred revenues,"1,16,65,600","1,07,48,100","40,04,500"
Other long-term liabilities,"4,61,100","8,700",100
Total non-current liabilities,"61,38,15,500","60,48,01,900","62,75,03,300"
Total liabilities,"95,12,04,800","92,79,67,100","1,00,44,54,800"
Common stock,"22,23,900","22,28,900","22,27,200"
Retained earnings,"16,00,59,800","11,09,48,600","4,47,75,300"
Total stockholders' equity,"57,50,17,300","54,85,17,700","46,05,88,000"
Total liabilities and stockholders' equity,"1,52,63,16,900","1,47,65,71,200","1,46,51,05,100"
