,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Total revenue,"39,49,30,000","39,49,30,000","38,98,10,000","35,23,80,000","32,88,00,000"
Cost of revenue,"18,25,90,000","18,25,90,000","18,47,40,000","16,73,00,000","16,31,30,000"
Gross profit,"21,23,40,000","21,23,40,000","20,50,70,000","18,50,80,000","16,56,70,000"
Selling general and administrative,"6,22,00,000","6,22,00,000","6,20,60,000","5,70,00,000","5,05,80,000"
Total operating expenses,"12,37,50,000","12,37,50,000","12,19,20,000","11,52,90,000","10,65,90,000"
Operating income or loss,"8,85,90,000","8,85,90,000","8,31,50,000","6,97,90,000","5,90,80,000"
Interest expense,"11,80,000","11,80,000","3,30,000","2,60,000","3,50,000"
Income before tax,"9,17,30,000","9,17,30,000","8,60,40,000","7,30,40,000","6,47,90,000"
Income tax expense,"2,40,90,000","2,40,90,000","2,54,40,000","2,07,90,000","1,97,70,000"
Income from continuing operations,"6,76,40,000","6,76,40,000","6,06,00,000","5,22,50,000","4,50,20,000"
Net income,"6,74,80,000","6,74,80,000","6,05,40,000","5,21,40,000","4,47,60,000"
Net income available to common shareholders,"6,74,80,000","6,74,80,000","6,05,40,000","5,21,40,000","4,47,60,000"
Basic EPS,-,-,27.97,24.09,20.68
Diluted EPS,-,-,27.96,24.08,20.68
Basic average shares,-,-,"21,64,630","21,64,457","21,64,213"
Diluted average shares,-,-,"21,64,989","21,64,924","21,64,639"
EBITDA,-,"10,29,30,000","9,20,20,000","7,85,00,000","6,94,60,000"
