,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,222.75,224.80,220.70,221.35,183.88,"24,20,707"
08-Apr-2010,224.35,226.85,222.00,222.70,185.01,"22,70,759"
07-Apr-2010,230.00,231.45,224.50,225.00,186.92,"31,20,048"
06-Apr-2010,229.70,231.65,228.70,229.90,190.99,"20,68,525"
05-Apr-2010,231.10,232.35,226.65,229.10,190.32,"38,60,534"
01-Apr-2010,240.40,240.45,230.00,230.40,191.40,"33,20,590"
31-Mar-2010,241.10,242.00,238.05,239.55,199.00,"24,07,315"
30-Mar-2010,240.00,242.30,239.15,241.85,200.91,"34,22,200"
29-Mar-2010,238.80,240.40,238.00,239.70,199.13,"27,12,461"
26-Mar-2010,233.80,239.40,232.10,238.50,198.13,"59,21,814"
25-Mar-2010,226.00,234.00,226.00,232.00,192.73,"57,22,411"
23-Mar-2010,228.75,230.30,227.60,228.50,189.82,"25,91,544"
22-Mar-2010,228.00,229.50,226.00,228.25,189.62,"18,21,015"
19-Mar-2010,224.85,229.90,224.50,228.95,190.20,"23,91,153"
18-Mar-2010,224.00,226.95,223.60,224.85,186.79,"22,60,551"
17-Mar-2010,227.50,228.75,222.80,223.90,186.00,"54,45,508"
16-Mar-2010,226.15,227.70,225.05,226.70,188.33,"18,01,538"
15-Mar-2010,221.40,227.00,218.00,225.55,187.37,"63,29,071"
12-Mar-2010,228.80,228.80,218.40,219.40,182.26,"1,01,25,660"
11-Mar-2010,236.35,239.45,228.15,228.80,190.07,"54,14,907"
10-Mar-2010,235.40,240.00,235.40,239.75,199.17,"16,00,336"
09-Mar-2010,238.00,239.95,235.00,236.05,196.10,"17,19,797"
08-Mar-2010,243.00,244.70,237.55,238.75,198.34,"29,70,886"
05-Mar-2010,242.10,244.40,241.15,243.00,201.87,"5,88,200"
04-Mar-2010,239.10,244.35,235.80,243.45,202.24,"25,85,303"
03-Mar-2010,235.00,240.00,235.00,239.10,198.63,"25,69,749"
02-Mar-2010,234.00,238.00,232.90,234.45,194.77,"17,84,738"
26-Feb-2010,239.85,241.45,235.00,236.20,196.22,"15,19,988"
25-Feb-2010,241.15,242.95,232.65,235.20,195.39,"27,91,186"
24-Feb-2010,244.00,245.20,241.00,242.15,201.16,"11,02,320"
23-Feb-2010,244.00,245.90,242.75,244.90,203.45,"9,08,983"
22-Feb-2010,244.00,247.35,242.00,246.15,204.49,"22,80,787"
19-Feb-2010,242.00,245.45,237.15,241.00,200.21,"45,82,596"
18-Feb-2010,240.60,243.90,238.30,242.50,201.45,"9,55,635"
17-Feb-2010,238.50,244.65,238.50,240.55,199.83,"34,28,957"
16-Feb-2010,230.00,238.55,229.30,237.15,197.01,"22,53,497"
15-Feb-2010,233.40,234.85,229.00,229.75,190.86,"15,94,781"
11-Feb-2010,230.50,234.45,230.50,233.40,193.89,"22,99,826"
10-Feb-2010,233.50,233.95,229.15,230.10,191.15,"28,64,300"
09-Feb-2010,238.00,238.00,232.30,232.60,193.23,"24,35,031"
08-Feb-2010,231.00,238.20,229.75,236.50,196.47,"31,39,856"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,229.50,234.40,227.00,229.05,190.28,"43,45,866"
04-Feb-2010,237.10,239.35,230.50,231.05,191.94,"30,17,883"
03-Feb-2010,237.75,238.50,235.30,236.45,196.43,"15,95,241"
02-Feb-2010,238.50,240.00,235.00,236.50,196.47,"60,04,275"
01-Feb-2010,243.80,243.80,234.75,237.25,197.09,"49,87,343"
29-Jan-2010,251.55,252.20,241.05,242.30,201.29,"64,96,604"
28-Jan-2010,258.20,261.75,253.35,255.30,212.09,"50,49,389"
27-Jan-2010,263.00,263.00,254.70,259.35,215.45,"92,03,979"
25-Jan-2010,258.70,264.55,255.50,263.95,219.27,"43,55,123"
22-Jan-2010,253.00,259.15,251.95,257.95,214.29,"51,17,085"
21-Jan-2010,258.00,261.10,255.65,256.75,213.29,"30,93,875"
20-Jan-2010,256.00,258.60,253.50,257.80,214.16,"21,98,874"
19-Jan-2010,257.75,257.75,254.60,255.45,212.21,"11,22,943"
18-Jan-2010,256.50,258.35,254.55,257.30,213.75,"10,88,348"
15-Jan-2010,257.75,258.75,255.90,256.40,213.00,"43,61,271"
14-Jan-2010,262.60,263.60,255.30,256.05,212.71,"35,83,983"
13-Jan-2010,262.00,263.75,260.75,262.50,218.07,"19,17,571"
12-Jan-2010,266.00,266.75,260.55,262.15,217.78,"38,26,930"
11-Jan-2010,266.60,268.35,265.60,266.10,221.06,"22,51,471"
08-Jan-2010,265.10,267.00,264.15,265.95,220.93,"40,00,986"
07-Jan-2010,265.10,267.25,264.15,264.80,219.98,"27,23,548"
06-Jan-2010,264.75,266.00,262.60,265.35,220.44,"16,82,107"
05-Jan-2010,265.75,266.40,262.50,263.85,219.19,"13,92,726"
04-Jan-2010,264.80,266.20,264.10,264.70,219.90,"6,68,858"
19-Jul-2010,265.20,269.10,263.70,264.60,222.73,"11,03,384"
16-Jul-2010,263.10,266.90,261.80,266.15,224.03,"27,34,672"
15-Jul-2010,258.75,264.00,257.60,263.35,221.67,"11,34,558"
14-Jul-2010,260.00,261.40,255.50,257.60,216.83,"12,81,275"
13-Jul-2010,262.15,262.50,258.35,259.80,218.69,"13,13,668"
12-Jul-2010,264.75,265.20,261.15,262.15,220.66,"11,33,170"
09-Jul-2010,267.00,267.85,261.20,262.40,220.87,"11,59,054"
08-Jul-2010,266.60,268.55,264.10,266.45,224.28,"13,40,864"
07-Jul-2010,268.80,268.80,264.65,267.60,222.31,"10,01,367"
06-Jul-2010,267.70,268.25,265.50,267.35,222.10,"10,54,052"
05-Jul-2010,269.20,269.35,265.35,266.15,221.10,"8,44,054"
02-Jul-2010,272.50,273.50,267.20,268.40,222.97,"17,34,300"
01-Jul-2010,267.00,273.15,264.35,272.50,226.38,"25,51,949"
30-Jun-2010,263.75,269.00,261.30,267.55,222.26,"14,34,286"
29-Jun-2010,266.75,269.70,261.10,262.65,218.19,"10,65,270"
28-Jun-2010,266.25,269.70,265.35,266.75,221.60,"11,98,030"
25-Jun-2010,267.20,270.55,264.25,266.25,221.18,"9,20,634"
24-Jun-2010,266.60,274.35,266.10,270.90,225.05,"53,56,066"
23-Jun-2010,260.00,269.20,260.00,266.20,221.14,"38,54,534"
