,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,3,3,29,30
Avg. Estimate,66.32B,70.49B,262.26B,305.69B
Low estimate,64.41B,67.27B,225.1B,286.71B
High estimate,67.52B,72.12B,276.39B,337.21B
Year ago EPS,2.55,1.57,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,N/A,N/A,N/A,262.26B
Sales growth (year/est),N/A,N/A,N/A,16.60%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,3.09,2.2,2.27,1.43
Actual EPS,2.55,1.57,-0.19,1.4
Difference,-0.54,-0.63,-2.46,-0.03
Surprise %,-17.50%,-28.60%,-108.40%,-2.10%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,2.44,3.29,10.87,23.64
30 days ago,2.44,3.29,10.87,23.64
60 days ago,2.44,3.29,10.87,23.64
90 days ago,2.44,3.29,10.87,23.64
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,1,1,N/A,N/A
Up last 30 days,1,1,1,2
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,2,2
Growth estimates,ICICIBANK.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),36.78%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
