,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Net income,"9,56,63,100","9,56,63,100","4,25,42,387","7,71,21,865","10,18,83,845"
Depreciation & amortisation,"1,36,96,400","1,36,96,400","1,04,53,730","1,03,90,761","1,04,44,420"
Stock-based compensation,"1,14,100","1,14,100","79,426","1,31,128","1,80,903"
Change in working capital,"48,26,49,500","48,26,49,500","29,88,99,774","-69,64,034","34,91,39,787"
Other working capital,"77,69,13,000","77,69,13,000","47,52,29,039","18,34,07,885","51,31,88,191"
Other non-cash items,"13,20,04,200","13,20,04,200","20,10,26,652","16,02,40,365","15,64,60,686"
Net cash provided by operating activities,"79,56,47,500","79,56,47,500","48,67,10,527","19,38,29,323","52,63,55,335"
"Investments in property, plant and equipment","-1,87,34,500","-1,87,34,500","-1,14,81,488","-1,04,21,438","-1,31,67,144"
Net cash used for investing activities,"-42,30,84,300","-42,30,84,300","-30,14,72,151","-50,57,34,537","-1,60,57,387"
Debt repayment,"-52,00,06,200","-52,00,06,200","-30,41,62,713","-40,43,39,556","-50,80,77,502"
Common stock issued,"54,93,200","54,93,200","34,86,300","39,39,495","17,72,579"
Dividends paid,"-88,63,800","-88,63,800","-1,16,88,270","-1,71,61,116","-3,42,30,910"
Net cash used provided by (used for) financing activities,"2,99,21,800","2,99,21,800","-19,99,74,343","39,67,59,749","-35,46,95,359"
Net change in cash,"40,46,20,200","40,46,20,200","-1,60,82,380","8,50,82,647","15,45,48,984"
Cash at beginning of period,"87,39,09,000","87,39,09,000","88,99,91,333","80,49,08,686","65,03,59,702"
Cash at end of period,"1,27,85,29,200","1,27,85,29,200","87,39,08,953","88,99,91,333","80,49,08,686"
Operating cash flow,"79,56,47,500","79,56,47,500","48,67,10,527","19,38,29,323","52,63,55,335"
Capital expenditure,"-1,87,34,500","-1,87,34,500","-1,14,81,488","-1,04,21,438","-1,31,67,144"
Free cash flow,"77,69,13,000","77,69,13,000","47,52,29,039","18,34,07,885","51,31,88,191"
