,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,174.96,178.54,174.91,177.87,94.88,"1,26,37,042"
08-Apr-2010,178.58,179.64,174.13,174.74,93.21,"2,34,39,389"
07-Apr-2010,182.31,183.46,178.20,179.52,95.76,"1,98,63,459"
06-Apr-2010,180.35,183.58,179.15,181.42,96.77,"3,08,64,163"
05-Apr-2010,173.64,180.13,173.64,179.15,95.57,"2,82,63,136"
01-Apr-2010,174.00,174.89,171.69,173.21,92.40,"1,98,39,534"
31-Mar-2010,175.42,176.51,172.49,173.18,92.38,"2,82,37,176"
30-Mar-2010,173.84,176.07,173.61,174.51,93.09,"1,85,72,758"
29-Mar-2010,171.82,174.36,170.82,173.20,92.39,"2,19,09,514"
26-Mar-2010,170.73,173.07,170.04,172.27,91.90,"2,15,44,611"
25-Mar-2010,167.27,170.91,165.93,169.79,90.57,"2,65,13,751"
23-Mar-2010,170.73,172.00,167.64,168.27,89.76,"2,02,00,125"
22-Mar-2010,172.54,172.54,167.46,170.04,90.71,"2,00,87,584"
19-Mar-2010,175.09,176.16,172.45,173.92,92.77,"1,79,69,248"
18-Mar-2010,172.74,176.27,172.54,175.21,93.46,"2,59,47,581"
17-Mar-2010,170.00,173.38,169.46,172.46,92.00,"2,31,14,982"
16-Mar-2010,167.46,169.98,165.85,169.18,90.25,"1,44,85,526"
15-Mar-2010,169.09,170.00,155.64,167.96,89.59,"1,62,40,301"
12-Mar-2010,170.01,171.26,169.31,170.30,90.84,"2,04,91,075"
11-Mar-2010,166.36,170.31,166.02,169.24,90.28,"2,11,46,158"
10-Mar-2010,168.18,169.00,165.16,166.87,89.02,"2,21,91,510"
09-Mar-2010,167.64,169.93,165.28,168.21,89.73,"3,40,59,690"
08-Mar-2010,165.46,168.51,165.46,167.96,89.59,"3,22,94,977"
05-Mar-2010,163.29,165.27,162.12,163.96,87.46,"1,49,22,804"
04-Mar-2010,164.73,166.28,161.67,163.35,87.13,"1,76,25,426"
03-Mar-2010,163.62,165.91,162.79,165.15,88.10,"2,50,91,231"
02-Mar-2010,160.93,164.18,160.93,163.12,87.01,"2,82,73,394"
26-Feb-2010,153.69,161.27,153.09,158.57,84.59,"3,55,08,192"
25-Feb-2010,152.96,155.96,151.40,154.84,82.59,"2,39,44,124"
24-Feb-2010,152.74,153.80,151.46,152.94,81.58,"1,71,02,217"
23-Feb-2010,150.89,154.91,150.11,154.14,82.22,"2,07,01,076"
22-Feb-2010,153.66,154.54,150.68,151.20,80.66,"1,26,21,301"
19-Feb-2010,151.27,152.18,148.56,151.55,80.84,"1,82,76,038"
18-Feb-2010,152.73,155.09,151.70,152.74,81.47,"2,53,65,791"
17-Feb-2010,152.73,154.13,151.02,152.90,81.56,"2,82,38,436"
16-Feb-2010,148.54,152.33,148.54,151.35,80.74,"1,12,82,936"
15-Feb-2010,151.27,151.27,147.73,148.61,79.27,"1,06,49,243"
11-Feb-2010,143.65,150.87,143.65,150.19,80.12,"1,95,96,379"
10-Feb-2010,148.73,149.37,144.88,145.42,77.57,"1,92,53,812"
09-Feb-2010,146.54,148.73,143.89,147.71,78.79,"2,08,74,557"
08-Feb-2010,154.54,154.54,142.91,146.43,78.11,"2,29,72,362"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,147.24,147.24,143.64,145.12,77.41,"2,73,52,501"
04-Feb-2010,151.78,154.36,150.09,150.69,80.38,"1,82,76,049"
03-Feb-2010,150.02,153.64,149.68,152.63,81.42,"1,81,66,148"
02-Feb-2010,152.91,153.17,148.33,148.91,79.43,"2,91,59,537"
01-Feb-2010,149.11,154.26,148.18,151.96,81.06,"2,85,87,543"
29-Jan-2010,140.91,152.54,140.91,150.97,80.53,"5,92,56,560"
28-Jan-2010,145.46,146.87,141.68,143.28,76.43,"5,65,19,067"
27-Jan-2010,149.09,150.44,141.82,143.15,76.36,"3,80,13,514"
25-Jan-2010,151.20,152.57,150.04,151.05,80.58,"1,58,65,157"
22-Jan-2010,150.73,154.00,149.24,152.85,81.54,"3,26,21,155"
21-Jan-2010,158.15,158.73,153.15,155.04,82.70,"3,37,27,122"
20-Jan-2010,158.15,160.84,157.99,159.63,85.15,"2,74,80,893"
19-Jan-2010,157.09,159.27,156.18,157.36,83.94,"2,08,04,140"
18-Jan-2010,151.64,157.96,150.96,156.97,83.73,"2,29,09,535"
15-Jan-2010,152.77,154.29,150.99,153.17,81.71,"1,95,21,926"
14-Jan-2010,154.00,156.54,151.13,151.87,81.01,"3,38,58,143"
13-Jan-2010,149.39,153.49,149.39,152.85,81.53,"3,16,84,857"
12-Jan-2010,158.07,158.54,152.73,153.23,81.74,"2,27,81,935"
11-Jan-2010,159.64,160.33,157.45,158.07,84.32,"1,81,84,672"
08-Jan-2010,161.65,161.82,158.36,158.90,84.76,"2,05,80,934"
07-Jan-2010,163.04,163.04,159.36,161.16,85.97,"1,08,52,286"
06-Jan-2010,162.73,164.97,161.84,162.70,86.79,"2,04,10,054"
05-Jan-2010,161.46,163.59,160.27,161.46,86.13,"1,46,59,997"
04-Jan-2010,159.46,160.91,159.09,159.95,85.32,"91,62,186"
19-Jul-2010,162.74,164.43,161.27,163.65,94.89,"1,71,90,327"
16-Jul-2010,161.09,164.54,161.09,164.07,95.14,"1,65,19,811"
15-Jul-2010,161.65,163.79,159.69,160.34,92.97,"1,54,69,251"
14-Jul-2010,164.18,166.26,161.12,162.04,93.96,"1,42,87,664"
13-Jul-2010,156.41,163.82,156.41,163.54,94.83,"1,38,94,931"
12-Jul-2010,160.89,162.73,159.28,162.45,94.19,"2,22,22,106"
09-Jul-2010,157.54,159.82,157.46,159.26,92.34,"1,76,97,774"
08-Jul-2010,156.00,157.42,155.46,156.78,90.91,"92,00,433"
07-Jul-2010,155.82,156.02,153.50,153.85,89.21,"1,14,63,656"
06-Jul-2010,152.64,156.67,152.45,156.15,90.54,"1,27,55,105"
05-Jul-2010,152.36,153.76,151.64,152.84,88.62,"80,28,048"
02-Jul-2010,153.18,154.14,151.49,152.74,88.56,"1,79,40,307"
01-Jul-2010,155.35,155.82,152.10,152.99,88.71,"1,83,83,568"
30-Jun-2010,152.02,157.15,151.68,156.67,90.85,"2,20,55,880"
29-Jun-2010,158.21,158.21,153.03,154.24,89.43,"1,81,67,386"
28-Jun-2010,154.91,158.54,154.91,158.21,91.74,"1,39,51,817"
25-Jun-2010,160.00,160.35,154.83,155.74,90.30,"2,01,90,291"
24-Jun-2010,163.31,164.00,159.66,161.04,93.38,"1,91,82,339"
23-Jun-2010,161.11,164.49,160.28,163.71,94.93,"1,77,04,599"
22-Jun-2010,163.09,164.69,161.53,162.11,94.00,"1,81,28,176"
