Insider,Insider Type,Type,Date,Shares
Vyas (Kaushal),UNREPORTED,Direct,17-Jun-2020,"11,769"
Bakhshi (Sandeep),Director (Executive),Direct,10-Jun-2020,"10,000"
Birwade (Swati Mehta),UNREPORTED,Direct,24-Jun-2020,"5,000"
Chougule (Sanjay R),UNREPORTED,Direct,16-Apr-2020,"39,500"
Subramaniam (Subhash),UNREPORTED,Direct,04-Apr-2020,"8,561"
Gupta (Rakhee Bansal),UNREPORTED,Direct,02-Mar-2020,"10,000"
Uttamchandani (Rakesh),UNREPORTED,Direct,19-Jun-2020,"2,950"
Khanna (Rajat),UNREPORTED,Direct,27-Feb-2020,"8,800"
Suresh (P),UNREPORTED,Direct,04-Jun-2020,"17,000"
Ranade (Anupama),UNREPORTED,Direct,04-Apr-2020,"8,000"
Goel (Sandeep),UNREPORTED,Direct,03-Jun-2020,"28,670"
Jogani (Vandana S),UNREPORTED,Direct,03-Jun-2020,"1,000"
Kashive (Ashish),UNREPORTED,Direct,02-Mar-2020,"5,000"
Chaudhary (Varun),UNREPORTED,Direct,27-May-2020,"3,600"
Bathwal (Suraj),UNREPORTED,Direct,22-May-2020,"4,640"
Upadhyay (Vyom),UNREPORTED,Direct,16-Apr-2020,"5,000"
Mantri (Sanjeev),UNREPORTED,Direct,20-Feb-2020,"70,000"
Ramakrishnan (Murali),UNREPORTED,Direct,27-Feb-2020,"22,900"
Prabhu (Narasinh),UNREPORTED,Direct,12-May-2020,"5,000"
Nanda (Puneet),UNREPORTED,Direct,20-Feb-2020,"65,000"
Kannan (N S),UNREPORTED,Direct,07-May-2020,"126,500"
Parikh (Yagnesh),UNREPORTED,Direct,27-Apr-2020,"8,250"
Gupta (Ajay),UNREPORTED,Direct,04-Apr-2020,"39,800"
Basu (Sudipto),UNREPORTED,Direct,23-Apr-2020,"6,875"
Batra (Mohit),UNREPORTED,Direct,13-Apr-2020,"242,525"
Sharma (Anil Kumar),UNREPORTED,Direct,19-Feb-2020,"19,297"
Rungta (Vineet),UNREPORTED,Direct,23-Apr-2020,"8,800"
Sanghai (Anubhuti),UNREPORTED,Direct,13-Apr-2020,"20,000"
Mulye (Vishakha Vivek),Director (Executive),Direct,20-Feb-2020,"50,000"
Verma (Prashant),UNREPORTED,Direct,21-Apr-2020,"23,925"
Rastogi (Yogesh Kumar),UNREPORTED,Direct,16-Apr-2020,"52,525"
Ganesh (R),UNREPORTED,Direct,16-Apr-2020,"31,400"
Singhvi (Sanjay),UNREPORTED,Direct,16-Apr-2020,"19,800"
Srirang (T. K.),UNREPORTED,Direct,16-Apr-2020,"53,925"
Shah (Nimesh),UNREPORTED,Direct,26-Feb-2020,"25,000"
Saraf (Ajay),UNREPORTED,Direct,30-Mar-2020,"44,000"
Sood (Sanjay),UNREPORTED,Direct,13-Apr-2020,"13,325"
Goel (Ashish),UNREPORTED,Direct,13-Apr-2020,"22,000"
Jha (Rakesh),Chief Financial Officer,Direct,24-Feb-2020,"20,000"
Jain (Prashant),UNREPORTED,Direct,13-Apr-2020,"8,800"
Jain (Arun),UNREPORTED,Direct,13-Apr-2020,"8,000"
Agrawal (Mayank),UNREPORTED,Direct,04-Apr-2020,"32,850"
Krishnakumar,UNREPORTED,Direct,31-Mar-2020,"4,000"
