,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"4,50,24,743","3,30,07,643","3,60,59,839","2,86,81,708"
Depreciation & amortisation,-,"22,88,518","21,16,434","19,06,988"
Stock-based compensation,-,"3,033","12,134","32,893"
Change in working capital,-,"-12,67,71,065","-25,76,54,003","7,73,34,294"
Other working capital,-,"-7,03,24,131","-20,93,62,334","11,28,21,160"
Other non-cash items,-,"29,44,010","17,93,222","7,85,086"
Net cash provided by operating activities,-,"-6,38,89,487","-20,70,04,407","11,56,93,019"
"Investments in property, plant and equipment",-,"-64,34,644","-23,57,927","-28,71,859"
Net cash used for investing activities,-,"-63,79,371","-21,95,480","-27,36,373"
Net change in cash,-,"1,56,75,233","-5,41,23,768","8,51,63,827"
Cash at beginning of period,-,"13,21,58,774","18,62,82,542","10,11,18,715"
Cash at end of period,-,"14,78,34,007","13,21,58,774","18,62,82,542"
Operating cash flow,-,"-6,38,89,487","-20,70,04,407","11,56,93,019"
Capital expenditure,-,"-64,34,644","-23,57,927","-28,71,859"
Free cash flow,-,"-7,03,24,131","-20,93,62,334","11,28,21,160"
