Insider,Insider Type,Type,Date,Shares
Lall (Tarun Kumar),UNREPORTED,Direct,24-Jun-2020,"3,300"
Karmakar (Shyamal),UNREPORTED,Direct,29-Jan-2020,"4,350"
Vudumula (Srinivas Reddy),UNREPORTED,Direct,12-Jun-2020,"1,000"
Sen (Soumitra),UNREPORTED,Direct,16-Apr-2020,"16,500"
Gupta (Sameer),UNREPORTED,Direct,24-Feb-2020,"8,000"
Rao (Anil M),UNREPORTED,Direct,23-Dec-2019,"4,000"
Vedanarayanan (L),UNREPORTED,Direct,27-Nov-2019,400
Rekapalli (Sanjay),UNREPORTED,Direct,14-Feb-2020,108
Madhavan (Viswanathan),UNREPORTED,Direct,06-Dec-2019,"1,410"
Dewan (Puneet),UNREPORTED,Direct,28-Nov-2019,"1,000"
Singh (Alok),UNREPORTED,Direct,06-Mar-2020,"4,400"
Kapoor (Gaurav),UNREPORTED,Direct,05-Mar-2020,750
Zaregaonkar (S V),UNREPORTED,Direct,28-Feb-2020,"24,750"
Kannan (R),UNREPORTED,Direct,12-Feb-2020,"3,800"
Meyyappan (Ramaswamy),Chief Risk Officer,Direct,28-Nov-2019,"1,000"
Bagga (Rajiv),UNREPORTED,Direct,11-Feb-2020,"1,325"
Abraham (Paul),UNREPORTED,Direct,20-Dec-2019,"20,000"
Chavali (Sheba),UNREPORTED,Direct,05-Feb-2020,"1,000"
Chander (Suhail),UNREPORTED,Direct,29-Jan-2020,"68,000"
Sobti (Romesh),UNREPORTED,Direct,04-Dec-2019,"100,000"
Chandrasekhar (Uma),UNREPORTED,Direct,17-Dec-2019,"1,650"
Bhatiani (Saurabh),UNREPORTED,Direct,28-Nov-2019,200
Behl (Anish),UNREPORTED,Direct,24-Dec-2019,"10,000"
Thakur (Ashok Kumar),UNREPORTED,Direct,24-Dec-2019,"28,600"
Vargheses (Anita),UNREPORTED,Direct,24-Dec-2019,"2,250"
Mehta (Shetal),UNREPORTED,Direct,27-Nov-2019,"1,000"
Mody (Zubin D),UNREPORTED,Direct,28-Nov-2019,"8,000"
Mohan (Chandra B),UNREPORTED,Direct,28-Nov-2019,"2,000"
Parthasarathy (S V),UNREPORTED,Direct,24-Dec-2019,"5,000"
Sharda (Sanjay),UNREPORTED,Direct,24-Dec-2019,"2,000"
Kathpalia (Sumant),UNREPORTED,Direct,02-Dec-2019,"25,000"
Khurana (Arun),UNREPORTED,Direct,28-Nov-2019,"6,000"
Peddada (Srinivas),UNREPORTED,Direct,23-Dec-2019,"1,900"
Sharma (Vineet),UNREPORTED,Direct,17-Dec-2019,"1,200"
Maldikar (Prashant Prabhakar),UNREPORTED,Direct,18-Dec-2019,700
Jha (Vishal),UNREPORTED,Direct,02-Dec-2019,300
Sriram (A G),UNREPORTED,Direct,10-Dec-2019,"1,000"
Subramanyan (Natraj),UNREPORTED,Direct,17-Dec-2019,"6,600"
Deshmukh (Abhishek),UNREPORTED,Direct,17-Dec-2019,"8,250"
Govindarajan (V),UNREPORTED,Direct,10-Dec-2019,"1,100"
Murali (MRM),UNREPORTED,Direct,28-Nov-2019,"2,000"
Sriniasu (P S),UNREPORTED,Direct,29-Nov-2019,500
Krishna (Gopi A),UNREPORTED,Direct,03-Dec-2019,"2,191"
Ayyagari (Anand),UNREPORTED,Direct,03-Dec-2019,"4,059"
Kumar (Vijay),UNREPORTED,Direct,29-Nov-2019,"1,911"
Pandhre (Kanchan),UNREPORTED,Direct,29-Nov-2019,"3,000"
Rao (Akasam Mohan),UNREPORTED,Direct,28-Nov-2019,"1,000"
Srikanth (U L),UNREPORTED,Direct,27-Nov-2019,200
Khurana (Shikha),UNREPORTED,Direct,28-Nov-2019,500
Malaviya (Ashish),UNREPORTED,Direct,27-Nov-2019,959
John (Rijo),UNREPORTED,Direct,28-Nov-2019,"1,800"
Ghorami (Subhendu),UNREPORTED,Direct,27-Nov-2019,320
Dhawan (Sandhya),UNREPORTED,Direct,27-Nov-2019,100
Saran (K Guru),UNREPORTED,Direct,27-Nov-2019,500
Rajagopalan (T A),UNREPORTED,Direct,27-Nov-2019,"2,200"
Regonda (Praveen),UNREPORTED,Direct,27-Nov-2019,26
Siddiqui (Farman),UNREPORTED,Direct,27-Nov-2019,"1,600"
Kher (Amreesh),UNREPORTED,Direct,27-Nov-2019,"1,000"
