,Open,High,Low,Close*,Adj. close**,Volume
04-Jan-2013,205.00,210.00,202.35,207.15,157.14,"41,88,477"
03-Jan-2013,200.00,206.50,200.00,204.35,155.02,"36,26,134"
02-Jan-2013,198.30,204.35,197.00,201.50,152.86,"54,70,399"
01-Jan-2013,194.70,199.80,194.00,197.75,150.01,"26,19,486"
31-Dec-2012,191.85,195.50,188.25,193.70,146.94,"60,21,827"
28-Dec-2012,200.00,200.85,188.65,191.65,145.38,"3,53,51,056"
12-Apr-2013,173.00,175.90,169.20,171.15,129.83,"91,657"
11-Apr-2013,178.25,179.10,173.65,175.10,132.83,"12,895"
10-Apr-2013,171.10,180.00,171.10,178.25,135.22,"1,15,618"
09-Apr-2013,178.45,180.60,173.65,177.10,134.35,"7,83,067"
08-Apr-2013,177.55,183.25,177.20,177.50,134.65,"43,044"
05-Apr-2013,180.40,181.95,178.25,181.00,137.31,"2,09,977"
04-Apr-2013,180.00,182.00,176.55,180.00,136.55,"9,32,854"
03-Apr-2013,183.35,184.55,180.50,181.35,137.57,"8,90,606"
02-Apr-2013,177.00,186.00,176.00,183.90,139.51,"2,02,990"
01-Apr-2013,176.95,184.00,174.05,179.15,135.90,"1,72,211"
28-Mar-2013,185.00,185.00,178.95,178.95,135.75,"3,38,460"
26-Mar-2013,168.00,172.00,167.40,170.00,128.96,"30,53,335"
25-Mar-2013,173.00,174.95,166.70,170.25,129.15,"6,49,932"
22-Mar-2013,175.90,175.90,169.60,173.10,131.31,"9,79,167"
21-Mar-2013,178.50,180.35,172.35,173.90,131.92,"31,01,013"
20-Mar-2013,181.90,184.70,176.15,179.90,136.47,"5,60,531"
19-Mar-2013,185.00,185.80,180.10,181.90,137.99,"2,96,981"
18-Mar-2013,186.90,186.90,179.65,183.50,139.20,"1,01,719"
15-Mar-2013,190.00,190.40,184.10,185.10,140.42,"1,74,015"
14-Mar-2013,191.75,191.75,189.80,189.80,143.98,"1,04,780"
