,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Total revenue,"1,27,80,000","1,27,80,000","1,17,99,000","1,09,39,000","1,02,08,000"
Cost of revenue,"85,52,000","85,52,000","76,87,000","70,01,000","64,46,000"
Gross profit,"42,28,000","42,28,000","41,12,000","39,38,000","37,62,000"
Selling general and administrative,"13,02,000","13,02,000","12,20,000","11,16,000","10,20,000"
Total operating expenses,"14,80,000","14,80,000","13,81,000","12,68,000","11,87,000"
Operating income or loss,"27,48,000","27,48,000","27,31,000","26,70,000","25,75,000"
Interest expense,"24,000","24,000",-,-,-
Total other income/expenses net,"1,07,000","1,07,000","-21,000","1,07,000","19,000"
Income before tax,"30,95,000","30,95,000","30,03,000","31,43,000","29,74,000"
Income tax expense,"7,57,000","7,57,000","8,03,000","6,57,000","8,34,000"
Income from continuing operations,"23,38,000","23,38,000","22,00,000","24,86,000","21,40,000"
Net income,"23,31,000","23,31,000","21,99,000","24,86,000","21,40,000"
Net income available to common shareholders,"23,31,000","23,31,000","21,99,000","24,86,000","21,40,000"
Basic EPS,-,-,0.51,0.55,0.47
Diluted EPS,-,-,0.51,0.55,0.47
Basic average shares,-,-,"43,47,130","45,10,665","45,71,279"
Diluted average shares,-,-,"43,53,421","45,15,148","45,72,793"
EBITDA,-,"35,26,000","30,18,000","29,59,000","28,29,000"
