,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,333.75,337.21,333.13,334.52,135.19,"82,60,312"
08-Apr-2010,330.00,334.74,328.75,332.97,134.56,"72,27,984"
07-Apr-2010,331.94,334.35,327.17,330.47,133.55,"83,80,880"
06-Apr-2010,335.25,335.63,330.66,331.41,133.93,"53,48,808"
05-Apr-2010,334.88,336.25,329.75,334.74,135.28,"73,18,616"
01-Apr-2010,327.52,334.75,327.50,333.81,134.90,"81,87,000"
31-Mar-2010,331.74,334.59,325.83,326.99,132.14,"1,30,70,104"
30-Mar-2010,339.38,339.38,328.83,330.51,133.57,"1,06,49,936"
29-Mar-2010,344.75,346.25,337.53,339.58,137.23,"1,39,81,704"
26-Mar-2010,352.00,353.13,345.38,346.86,140.17,"91,05,680"
25-Mar-2010,346.38,358.75,343.86,351.74,142.15,"1,52,07,528"
23-Mar-2010,346.26,349.88,345.52,346.94,140.20,"47,92,560"
22-Mar-2010,344.01,347.13,342.86,344.67,139.29,"41,08,528"
19-Mar-2010,347.51,349.38,345.01,346.54,140.04,"1,25,82,544"
18-Mar-2010,342.50,349.24,342.50,348.45,140.82,"89,23,048"
17-Mar-2010,341.88,344.21,339.13,342.29,138.32,"63,52,000"
16-Mar-2010,337.50,343.12,335.29,341.54,138.02,"58,81,344"
15-Mar-2010,331.80,339.06,329.50,337.66,136.45,"1,05,82,856"
12-Mar-2010,337.49,338.00,332.04,334.16,135.04,"31,76,920"
11-Mar-2010,333.13,336.88,331.25,335.37,135.53,"42,98,424"
10-Mar-2010,334.36,336.43,331.25,332.41,134.33,"73,30,952"
09-Mar-2010,331.26,337.69,327.23,335.49,135.58,"79,58,752"
08-Mar-2010,331.63,334.92,329.76,332.44,134.35,"86,64,992"
05-Mar-2010,329.24,330.00,326.63,329.46,133.14,"49,84,808"
04-Mar-2010,332.75,333.00,325.50,327.98,132.54,"67,55,240"
03-Mar-2010,331.39,334.56,329.08,333.28,134.69,"59,04,976"
02-Mar-2010,328.94,331.34,327.83,330.13,133.41,"85,34,656"
26-Feb-2010,327.38,328.75,322.76,325.24,131.44,"1,05,46,368"
