,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,1,1,11,10
Avg. Estimate,1.65T,1.65T,5.64T,5.86T
Low estimate,1.65T,1.65T,4.39T,4.57T
High estimate,1.65T,1.65T,6.27T,7.07T
Year ago EPS,8.32,5.51,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,1.11T,1.17T,4.24T,5.64T
Sales growth (year/est),49.40%,40.80%,33.10%,3.80%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,5.33,6.36,5.3,5.1
Actual EPS,8.32,5.51,7.21,3.43
Difference,2.99,-0.85,1.91,-1.67
Surprise %,56.10%,-13.40%,36.00%,-32.70%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,4.28,-0.25,18.41,18.67
30 days ago,4.28,-0.25,18.41,18.67
60 days ago,4.28,-0.25,18.41,18.67
90 days ago,4.28,-0.25,18.41,18.67
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,1,1,N/A,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,IOC.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),-2.94%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
